Frecuencia;Ratio;Fase
1.00E+03;0.1;180
1.10E+03;0.1;180
1.60E+03;0.1;180
2.00E+03;0;179
3.00E+03;0;180
4.00E+03;0;179
5.00E+03;0;179
6.00E+03;0;180
7.00E+03;0;180
1.00E+04;0.1;180
2.00E+04;0.1;179
5.00E+04;0;175
7.00E+04;0;172
9.00E+04;0;168
1.00E+05;0.1;164
1.30E+05;0;161
1.40E+05;0;159
2.00E+05;-0.1;155
2.50E+05;0;148
3.00E+05;-0.1;142
3.20E+05;-0.1;141
3.70E+05;-0.3;130
4.00E+05;-0.4;128
4.50E+05;-0.6;122
5.00E+05;-1;115
5.20E+05;-1.1;113
6.00E+05;-1.7;98
7.00E+05;-2.7;89
8.00E+05;-3.7;76
9.00E+05;-5.4;59
1.00E+06;-6.1;55
1.10E+06;-7;44
1.20E+06;-7.8;39
1.30E+06;-8.8;35
