Freq.	V(n002)
1.00000000000000e+000	(-2.65162929431475e-004dB,1.79999826592102e+002°)
1.25892541179417e+000	(-2.65162944105129e-004dB,1.79999781692390e+002°)
1.58489319246111e+000	(-2.65162967351917e-004dB,1.79999725167003e+002°)
1.99526231496888e+000	(-2.65163004199994e-004dB,1.79999654005756e+002°)
2.51188643150958e+000	(-2.65163062587947e-004dB,1.79999564419054e+002°)
3.16227766016838e+000	(-2.65163155134387e-004dB,1.79999451636078e+002°)
3.98107170553497e+000	(-2.65163301804393e-004dB,1.79999309650723e+002°)
5.01187233627272e+000	(-2.65163534268411e-004dB,1.79999130901753e+002°)
6.30957344480194e+000	(-2.65163902697110e-004dB,1.79998905870131e+002°)
7.94328234724282e+000	(-2.65164486622931e-004dB,1.79998622572104e+002°)
1.00000000000000e+001	(-2.65165412068036e-004dB,1.79998265921019e+002°)
1.25892541179417e+001	(-2.65166878806673e-004dB,1.79997816923905e+002°)
1.58489319246111e+001	(-2.65169203436250e-004dB,1.79997251670029e+002°)
1.99526231496888e+001	(-2.65172887723238e-004dB,1.79996540057560e+002°)
2.51188643150958e+001	(-2.65178726927457e-004dB,1.79995644190541e+002°)
3.16227766016838e+001	(-2.65187981441211e-004dB,1.79994516360785e+002°)
3.98107170553498e+001	(-2.65202648850772e-004dB,1.79993096507249e+002°)
5.01187233627273e+001	(-2.65225895139913e-004dB,1.79991309017557e+002°)
6.30957344480194e+001	(-2.65262738014931e-004dB,1.79989058701370e+002°)
7.94328234724283e+001	(-2.65321130041508e-004dB,1.79986225721161e+002°)
1.00000000000000e+002	(-2.65413675159787e-004dB,1.79982659210428e+002°)
1.25892541179417e+002	(-2.65560349290219e-004dB,1.79978169239522e+002°)
1.58489319246112e+002	(-2.65792812109138e-004dB,1.79972516701223e+002°)
1.99526231496888e+002	(-2.66161240822893e-004dB,1.79965400577464e+002°)
2.51188643150958e+002	(-2.66745160942038e-004dB,1.79956441909122e+002°)
3.16227766016838e+002	(-2.67670611822354e-004dB,1.79945163615268e+002°)
3.98107170553498e+002	(-2.69137352280716e-004dB,1.79930965087286e+002°)
5.01187233627273e+002	(-2.71461978412951e-004dB,1.79913090205089e+002°)
6.30957344480194e+002	(-2.75146260401595e-004dB,1.79890587072611e+002°)
7.94328234724283e+002	(-2.80985448525304e-004dB,1.79862257329144e+002°)
1.00000000000000e+003	(-2.90239924622630e-004dB,1.79826592338789e+002°)
1.25892541179417e+003	(-3.04907247112787e-004dB,1.79781692863122e+002°)
1.58489319246112e+003	(-3.28153302092157e-004dB,1.79725167945823e+002°)
1.99526231496888e+003	(-3.64995603904838e-004dB,1.79654007637396e+002°)
2.51188643150959e+003	(-4.23386183540463e-004dB,1.79564422807875e+002°)
3.16227766016839e+003	(-5.15927675157156e-004dB,1.79451643568308e+002°)
3.98107170553498e+003	(-6.62592688049569e-004dB,1.79309665668711e+002°)
5.01187233627273e+003	(-8.95032611120923e-004dB,1.79130931571645e+002°)
6.30957344480195e+003	(-1.26340382094066e-003dB,1.78905929625092e+002°)
7.94328234724283e+003	(-1.84717949510248e-003dB,1.78622690801910e+002°)
1.00000000000000e+004	(-2.77226761618556e-003dB,1.78266157825391e+002°)
1.25892541179417e+004	(-4.23809710051701e-003dB,1.77817396311103e+002°)
1.58489319246112e+004	(-6.56043587008874e-003dB,1.77252612335397e+002°)
1.99526231496889e+004	(-1.02389759225633e-002dB,1.76541936865446e+002°)
2.51188643150959e+004	(-1.60637553757897e-002dB,1.75647937584744e+002°)
3.16227766016839e+004	(-2.52820959011976e-002dB,1.74523828719721e+002°)
3.98107170553498e+004	(-3.98588773653017e-002dB,1.73111381262586e+002°)
5.01187233627274e+004	(-6.28784029860874e-002dB,1.71338611863016e+002°)
6.30957344480195e+004	(-9.91552322054700e-002dB,1.69117488823020e+002°)
7.94328234724284e+004	(-1.56139285548421e-001dB,1.66342203735127e+002°)
1.00000000000000e+005	(-2.45201582226937e-001dB,1.62889105616635e+002°)
1.25892541179417e+005	(-3.83333168806015e-001dB,1.58620242944835e+002°)
1.58489319246112e+005	(-5.95108739525264e-001dB,1.53393466268246e+002°)
1.99526231496889e+005	(-9.14366521074446e-001dB,1.47082452454064e+002°)
2.51188643150959e+005	(-1.38444454939525e+000dB,1.39607939460546e+002°)
3.16227766016839e+005	(-2.05539057605268e+000dB,1.30974460209171e+002°)
3.98107170553499e+005	(-2.97732593106087e+000dB,1.21295940600945e+002°)
5.01187233627274e+005	(-4.19181304070581e+000dB,1.10789328140734e+002°)
6.30957344480196e+005	(-5.72586326154980e+000dB,9.97327963007408e+001°)
7.94328234724285e+005	(-7.59200440851346e+000dB,8.84165756580233e+001°)
1.00000000000000e+006	(-9.79213260964371e+000dB,7.71223116321554e+001°)
1.25892541179417e+006	(-1.23191283678329e+001dB,6.61328850393592e+001°)
1.58489319246112e+006	(-1.51535916186756e+001dB,5.57372537258152e+001°)
1.99526231496889e+006	(-1.82596187543635e+001dB,4.62010555962714e+001°)
2.51188643150959e+006	(-2.15851924474663e+001dB,3.77156386809696e+001°)
3.16227766016839e+006	(-2.50678004605819e+001dB,3.03637393138147e+001°)
3.98107170553499e+006	(-2.86408958797773e+001dB,2.41230580625321e+001°)
5.01187233627275e+006	(-3.22369407455533e+001dB,1.88982474103671e+001°)
6.30957344480196e+006	(-3.57861577011297e+001dB,1.45603368097288e+001°)
7.94328234724285e+006	(-3.92130082119393e+001dB,1.09796149627515e+001°)
1.00000000000000e+007	(-4.24339069339819e+001dB,8.04731212455910e+000°)
