Freq.	V(n004)
1.00000000000000e+001	(-1.11100799182300e+000dB,-6.45785725539757e-004°)
1.25892541179417e+001	(-1.11100799182828e+000dB,-8.12996060465510e-004°)
1.58489319246111e+001	(-1.11100799183664e+000dB,-1.02350140022768e-003°)
1.99526231496888e+001	(-1.11100799184991e+000dB,-1.28851192179165e-003°)
2.51188643150958e+001	(-1.11100799187093e+000dB,-1.62214040181930e-003°)
3.16227766016838e+001	(-1.11100799190424e+000dB,-2.04215377350006e-003°)
3.98107170553497e+001	(-1.11100799195703e+000dB,-2.57091928055333e-003°)
5.01187233627272e+001	(-1.11100799204071e+000dB,-3.23659561456425e-003°)
6.30957344480194e+001	(-1.11100799217333e+000dB,-4.07463246808179e-003°)
7.94328234724282e+001	(-1.11100799238350e+000dB,-5.12965836019465e-003°)
1.00000000000000e+002	(-1.11100799271662e+000dB,-6.45785726826984e-003°)
1.25892541179417e+002	(-1.11100799324458e+000dB,-8.12996063033863e-003°)
1.58489319246111e+002	(-1.11100799408133e+000dB,-1.02350140535222e-002°)
1.99526231496888e+002	(-1.11100799540749e+000dB,-1.28851193201644e-002°)
2.51188643150958e+002	(-1.11100799750931e+000dB,-1.62214042222043e-002°)
3.16227766016838e+002	(-1.11100800084049e+000dB,-2.04215381420570e-002°)
3.98107170553498e+002	(-1.11100800612004e+000dB,-2.57091936177174e-002°)
5.01187233627273e+002	(-1.11100801448762e+000dB,-3.23659577661630e-002°)
6.30957344480194e+002	(-1.11100802774938e+000dB,-4.07463279141812e-002°)
7.94328234724282e+002	(-1.11100804876800e+000dB,-5.12965900533538e-002°)
1.00000000000000e+003	(-1.11100808208064e+000dB,-6.45785855549463e-002°)
1.25892541179417e+003	(-1.11100813487858e+000dB,-8.12996319868916e-002°)
1.58489319246111e+003	(-1.11100821856003e+000dB,-1.02350191780533e-001°)
1.99526231496888e+003	(-1.11100835119217e+000dB,-1.28851295449423e-001°)
2.51188643150958e+003	(-1.11100856141492e+000dB,-1.62214246232991e-001°)
3.16227766016838e+003	(-1.11100889463318e+000dB,-2.04215788475313e-001°)
3.98107170553498e+003	(-1.11100942284305e+000dB,-2.57092748356247e-001°)
5.01187233627273e+003	(-1.11101026023677e+000dB,-3.23661198165852e-001°)
6.30957344480194e+003	(-1.11101158801286e+000dB,-4.07466512453614e-001°)
7.94328234724283e+003	(-1.11101369389451e+000dB,-5.12972351778002e-001°)
1.00000000000000e+004	(-1.11101703525570e+000dB,-6.45798727282381e-001°)
1.25892541179417e+004	(-1.11102234041024e+000dB,-8.13022001745226e-001°)
1.58489319246112e+004	(-1.11103077226069e+000dB,-1.02355315796472e+000°)
1.99526231496888e+004	(-1.11104419549280e+000dB,-1.28861518597922e+000°)
2.51188643150958e+004	(-1.11106561971385e+000dB,-1.62234642174858e+000°)
3.16227766016839e+004	(-1.11109995117057e+000dB,-2.04256477653056e+000°)
3.98107170553498e+004	(-1.11115530819863e+000dB,-2.57173914716447e+000°)
5.01187233627273e+004	(-1.11124541765441e+000dB,-3.23823085520937e+000°)
6.30957344480195e+004	(-1.11139419553785e+000dB,-4.07789327663307e+000°)
7.94328234724283e+004	(-1.11164497186526e+000dB,-5.13615843046637e+000°)
1.00000000000000e+005	(-1.11208004468481e+000dB,-6.47080728341723e+000°)
1.25892541179417e+005	(-1.11286405240313e+000dB,-8.15573795099416e+000°)
1.58489319246112e+005	(-1.11434376059831e+000dB,-1.02862514064916e+001°)
1.99526231496888e+005	(-1.11728392506717e+000dB,-1.29867285200940e+001°)
2.51188643150959e+005	(-1.12343486267140e+000dB,-1.64221446473511e+001°)
3.16227766016839e+005	(-1.13691065315704e+000dB,-2.08156243131079e+001°)
3.98107170553498e+005	(-1.16753007396251e+000dB,-2.64745262672788e+001°)
5.01187233627273e+005	(-1.23875412549102e+000dB,-3.38241440583176e+001°)
6.30957344480195e+005	(-1.40543066522744e+000dB,-4.34291124718134e+001°)
7.94328234724283e+005	(-1.78738518511636e+000dB,-5.59167505704002e+001°)
1.00000000000000e+006	(-2.60676733376292e+000dB,-7.15880705856220e+001°)
1.25892541179417e+006	(-4.15057817282835e+000dB,-8.96060336951527e+001°)
1.58489319246112e+006	(-6.57069686991003e+000dB,-1.07680718370408e+002°)
1.99526231496888e+006	(-9.72635142175706e+000dB,-1.23480427217343e+002°)
2.51188643150959e+006	(-1.33312185690183e+001dB,-1.36102540825946e+002°)
3.16227766016839e+006	(-1.71586409057301e+001dB,-1.45818035339231e+002°)
3.98107170553498e+006	(-2.10851136601564e+001dB,-1.53251505928184e+002°)
5.01187233627274e+006	(-2.50538975635606e+001dB,-1.58973103182878e+002°)
6.30957344480195e+006	(-2.90407615763269e+001dB,-1.63413888924667e+002°)
7.94328234724284e+006	(-3.30356895970507e+001dB,-1.66885550690062e+002°)
1.00000000000000e+007	(-3.70346902167375e+001dB,-1.69614228132215e+002°)
