Freq.	V(vout)
1.00000000000000e+004	(3.84350104288469e+001dB,-1.48034225691545e+001°)
1.04712854805090e+004	(3.84152455734268e+001dB,-1.54817336733073e+001°)
1.09647819614319e+004	(3.83936715414117e+001dB,-1.61892686693535e+001°)
1.14815362149688e+004	(3.83701324145201e+001dB,-1.69270286192980e+001°)
1.20226443461741e+004	(3.83444606613074e+001dB,-1.76960132959316e+001°)
1.25892541179417e+004	(3.83164766121689e+001dB,-1.84972156212665e+001°)
1.31825673855641e+004	(3.82859879766581e+001dB,-1.93316153937123e+001°)
1.38038426460289e+004	(3.82527894187617e+001dB,-2.02001722759835e+001°)
1.44543977074593e+004	(3.82166622078822e+001dB,-2.11038180268852e+001°)
1.51356124843621e+004	(3.81773739653522e+001dB,-2.20434479746959e+001°)
1.58489319246111e+004	(3.81346785282617e+001dB,-2.30199117482551e+001°)
1.65958690743756e+004	(3.80883159540807e+001dB,-2.40340033043709e+001°)
1.73780082874938e+004	(3.80380126908683e+001dB,-2.50864503169722e+001°)
1.81970085860999e+004	(3.79834819385998e+001dB,-2.61779030245409e+001°)
1.90546071796325e+004	(3.79244242271152e+001dB,-2.73089226675095e+001°)
1.99526231496888e+004	(3.78605282351970e+001dB,-2.84799696859146e+001°)
2.08929613085404e+004	(3.77914718730920e+001dB,-2.96913918886932e+001°)
2.18776162394956e+004	(3.77169236472116e+001dB,-3.09434128481579e+001°)
2.29086765276778e+004	(3.76365443205965e+001dB,-3.22361208144995e+001°)
2.39883291901949e+004	(3.75499888758907e+001dB,-3.35694584832396e+001°)
2.51188643150958e+004	(3.74569087790034e+001dB,-3.49432139805564e+001°)
2.63026799189539e+004	(3.73569545314048e+001dB,-3.63570134541696e+001°)
2.75422870333817e+004	(3.72497784873050e+001dB,-3.78103156676507e+001°)
2.88403150312661e+004	(3.71350378991507e+001dB,-3.93024089903706e+001°)
3.01995172040202e+004	(3.70123981414561e+001dB,-4.08324111509229e+001°)
3.16227766016839e+004	(3.68815360496254e+001dB,-4.23992720766264e+001°)
3.31131121482592e+004	(3.67421432979175e+001dB,-4.40017800745634e+001°)
3.46736850452532e+004	(3.65939297299405e+001dB,-4.56385715209215e+001°)
3.63078054770102e+004	(3.64366265469394e+001dB,-4.73081441172368e+001°)
3.80189396320562e+004	(3.62699892545143e+001dB,-4.90088736483230e+001°)
3.98107170553498e+004	(3.60938002679809e+001dB,-5.07390340427973e+001°)
4.16869383470337e+004	(3.59078710808287e+001dB,-5.24968204002158e+001°)
4.36515832240167e+004	(3.57120439098182e+001dB,-5.42803745169434e+001°)
4.57088189614876e+004	(3.55061927439953e+001dB,-5.60878123243604e+001°)
4.78630092322640e+004	(3.52902237427270e+001dB,-5.79172525558111e+001°)
5.01187233627274e+004	(3.50640749488778e+001dB,-5.97668458895692e+001°)
5.24807460249774e+004	(3.48277153062735e+001dB,-6.16348037788748e+001°)
5.49540873857626e+004	(3.45811429942751e+001dB,-6.35194261792347e+001°)
5.75439937337159e+004	(3.43243831152175e+001dB,-6.54191274174069e+001°)
6.02559586074360e+004	(3.40574847913169e+001dB,-6.73324595129236e+001°)
6.30957344480195e+004	(3.37805177452983e+001dB,-6.92581323564178e+001°)
6.60693448007598e+004	(3.34935684526136e+001dB,-7.11950302624180e+001°)
6.91830970918939e+004	(3.31967359622256e+001dB,-7.31422245396556e+001°)
7.24435960074993e+004	(3.28901274874390e+001dB,-7.50989818510257e+001°)
7.58577575029187e+004	(3.25738538684009e+001dB,-7.70647682604212e+001°)
7.94328234724285e+004	(3.22480250042272e+001dB,-7.90392489781091e+001°)
8.31763771102674e+004	(3.19127453459958e+001dB,-8.10222839151410e+001°)
8.70963589956084e+004	(3.15681095329699e+001dB,-8.30139192372804e+001°)
9.12010839355913e+004	(3.12141982443023e+001dB,-8.50143751687777e+001°)
9.54992586021440e+004	(3.08510743280097e+001dB,-8.70240303364167e+001°)
1.00000000000000e+005	(3.04787792589601e+001dB,-8.90434029664513e+001°)
1.04712854805090e+005	(3.00973299686249e+001dB,-9.10731292543191e+001°)
1.09647819614319e+005	(2.97067160818464e+001dB,-9.31139392230796e+001°)
1.14815362149689e+005	(2.93068975901283e+001dB,-9.51666303755046e+001°)
1.20226443461742e+005	(2.88978029870622e+001dB,-9.72320394308311e+001°)
1.25892541179417e+005	(2.84793278893627e+001dB,-9.93110124243958e+001°)
1.31825673855641e+005	(2.80513341663824e+001dB,-1.01404373440325e+002°)
1.38038426460289e+005	(2.76136496015602e+001dB,-1.03512892247202e+002°)
1.44543977074593e+005	(2.71660681105622e+001dB,-1.05637251116604e+002°)
1.51356124843622e+005	(2.67083505423841e+001dB,-1.07778011126114e+002°)
1.58489319246112e+005	(2.62402260907885e+001dB,-1.09935578282763e+002°)
1.65958690743757e+005	(2.57613943435348e+001dB,-1.12110169849418e+002°)
1.73780082874938e+005	(2.52715279952722e+001dB,-1.14301781314414e+002°)
1.81970085860999e+005	(2.47702762461014e+001dB,-1.16510154511183e+002°)
1.90546071796326e+005	(2.42572689010887e+001dB,-1.18734747466399e+002°)
1.99526231496889e+005	(2.37321211759914e+001dB,-1.20974706627622e+002°)
2.08929613085405e+005	(2.31944392008009e+001dB,-1.23228842188729e+002°)
2.18776162394956e+005	(2.26438261953291e+001dB,-1.25495607287137e+002°)
2.29086765276779e+005	(2.20798892701015e+001dB,-1.27773081883454e+002°)
2.39883291901950e+005	(2.15022467817441e+001dB,-1.30058962144382e+002°)
2.51188643150959e+005	(2.09105361456443e+001dB,-1.32350556126193e+002°)
2.63026799189540e+005	(2.03044219810997e+001dB,-1.34644786492688e+002°)
2.75422870333818e+005	(1.96836044368923e+001dB,-1.36938200893966e+002°)
2.88403150312662e+005	(1.90478275200017e+001dB,-1.39226990478485e+002°)
3.01995172040203e+005	(1.83968872288848e+001dB,-1.41507016812245e+002°)
3.16227766016840e+005	(1.77306392773152e+001dB,-1.43773847240317e+002°)
