Freq.	V(vout)
1.00000000000000e+003	(3.26159637442858e+001dB,-7.58511327398332e-001°)
1.04712854805090e+003	(3.26158910926880e+001dB,-7.94254459560433e-001°)
1.09647819614319e+003	(3.26158114331918e+001dB,-8.31681461077801e-001°)
1.14815362149688e+003	(3.26157240899704e+001dB,-8.70871593615746e-001°)
1.20226443461741e+003	(3.26156283220514e+001dB,-9.11907840014491e-001°)
1.25892541179417e+003	(3.26155233170433e+001dB,-9.54877077544174e-001°)
1.31825673855641e+003	(3.26154081842594e+001dB,-9.99870259011708e-001°)
1.38038426460289e+003	(3.26152819471799e+001dB,-1.04698260204324e+000°)
1.44543977074593e+003	(3.26151435351918e+001dB,-1.09631378687436e+000°)
1.51356124843621e+003	(3.26149917745345e+001dB,-1.14796816298814e+000°)
1.58489319246111e+003	(3.26148253783774e+001dB,-1.20205496494784e+000°)
1.65958690743756e+003	(3.26146429359462e+001dB,-1.25868853777762e+000°)
1.73780082874938e+003	(3.26144429006064e+001dB,-1.31798857224897e+000°)
1.81970085860999e+003	(3.26142235768066e+001dB,-1.38008035043421e+000°)
1.90546071796325e+003	(3.26139831057714e+001dB,-1.44509500188978e+000°)
1.99526231496888e+003	(3.26137194498265e+001dB,-1.51316977083145e+000°)
2.08929613085404e+003	(3.26134303752267e+001dB,-1.58444829466008e+000°)
2.18776162394956e+003	(3.26131134333435e+001dB,-1.65908089419039e+000°)
2.29086765276778e+003	(3.26127659400605e+001dB,-1.73722487592482e+000°)
2.39883291901949e+003	(3.26123849532050e+001dB,-1.81904484670022e+000°)
2.51188643150958e+003	(3.26119672478338e+001dB,-1.90471304101542e+000°)
2.63026799189539e+003	(3.26115092891704e+001dB,-1.99440966132228e+000°)
2.75422870333817e+003	(3.26110072029764e+001dB,-2.08832323152989e+000°)
2.88403150312661e+003	(3.26104567431165e+001dB,-2.18665096393140e+000°)
3.01995172040202e+003	(3.26098532560582e+001dB,-2.28959913971232e+000°)
3.16227766016839e+003	(3.26091916420229e+001dB,-2.39738350313828e+000°)
3.31131121482592e+003	(3.26084663124807e+001dB,-2.51022966944658e+000°)
3.46736850452532e+003	(3.26076711436544e+001dB,-2.62837354637735e+000°)
3.63078054770102e+003	(3.26067994256700e+001dB,-2.75206176917531e+000°)
3.80189396320562e+003	(3.26058438069599e+001dB,-2.88155214876855e+000°)
3.98107170553498e+003	(3.26047962334925e+001dB,-3.01711413268453e+000°)
4.16869383470336e+003	(3.26036478823679e+001dB,-3.15902927809171e+000°)
4.36515832240167e+003	(3.26023890892801e+001dB,-3.30759173615445e+000°)
4.57088189614876e+003	(3.26010092693103e+001dB,-3.46310874665556e+000°)
4.78630092322639e+003	(3.25994968304724e+001dB,-3.62590114156966e+000°)
5.01187233627274e+003	(3.25978390793897e+001dB,-3.79630385595702e+000°)
5.24807460249774e+003	(3.25960221184377e+001dB,-3.97466644418602e+000°)
5.49540873857626e+003	(3.25940307336415e+001dB,-4.16135359907598e+000°)
5.75439937337158e+003	(3.25918482725697e+001dB,-4.35674567107496e+000°)
6.02559586074359e+003	(3.25894565114205e+001dB,-4.56123918404074e+000°)
6.30957344480195e+003	(3.25868355104466e+001dB,-4.77524734356973e+000°)
6.60693448007598e+003	(3.25839634568245e+001dB,-4.99920053310932e+000°)
6.91830970918938e+003	(3.25808164940260e+001dB,-5.23354679228358e+000°)
7.24435960074992e+003	(3.25773685367161e+001dB,-5.47875227095212e+000°)
7.58577575029186e+003	(3.25735910701649e+001dB,-5.73530165149353e+000°)
7.94328234724284e+003	(3.25694529331390e+001dB,-6.00369853065083e+000°)
8.31763771102673e+003	(3.25649200832222e+001dB,-6.28446575098244e+000°)
8.70963589956083e+003	(3.25599553435186e+001dB,-6.57814567051972e+000°)
9.12010839355913e+003	(3.25545181297058e+001dB,-6.88530035762986e+000°)
9.54992586021439e+003	(3.25485641564501e+001dB,-7.20651169631233e+000°)
1.00000000000000e+004	(3.25420451222627e+001dB,-7.54238138521146e+000°)
1.04712854805090e+004	(3.25349083719791e+001dB,-7.89353081150279e+000°)
1.09647819614319e+004	(3.25270965361899e+001dB,-8.26060077850718e+000°)
1.14815362149689e+004	(3.25185471471440e+001dB,-8.64425106341059e+000°)
1.20226443461742e+004	(3.25091922308984e+001dB,-9.04515977883141e+000°)
1.25892541179417e+004	(3.24989578758137e+001dB,-9.46402250920580e+000°)
1.31825673855641e+004	(3.24877637778972e+001dB,-9.90155119008858e+000°)
1.38038426460289e+004	(3.24755227639920e+001dB,-1.03584726955449e+001°)
1.44543977074593e+004	(3.24621402944177e+001dB,-1.08355270959043e+001°)
1.51356124843621e+004	(3.24475139473910e+001dB,-1.13334655453557e+001°)
1.58489319246112e+004	(3.24315328884160e+001dB,-1.18530477562997e+001°)
1.65958690743757e+004	(3.24140773288389e+001dB,-1.23950390151876e+001°)
1.73780082874938e+004	(3.23950179789293e+001dB,-1.29602066929567e+001°)
1.81970085860999e+004	(3.23742155021843e+001dB,-1.35493162023314e+001°)
1.90546071796326e+004	(3.23515199790557e+001dB,-1.41631263544765e+001°)
1.99526231496889e+004	(3.23267703899798e+001dB,-1.48023840690605e+001°)
2.08929613085405e+004	(3.22997941294263e+001dB,-1.54678183950704e+001°)
2.18776162394956e+004	(3.22704065646607e+001dB,-1.61601338051050e+001°)
2.29086765276778e+004	(3.22384106550008e+001dB,-1.68800027337760e+001°)
2.39883291901950e+004	(3.22035966494841e+001dB,-1.76280573417126e+001°)
2.51188643150959e+004	(3.21657418829897e+001dB,-1.84048805009152e+001°)
2.63026799189540e+004	(3.21246106928668e+001dB,-1.92109960152467e+001°)
2.75422870333818e+004	(3.20799544799085e+001dB,-2.00468581120039e+001°)
2.88403150312662e+004	(3.20315119389173e+001dB,-2.09128402669831e+001°)
3.01995172040203e+004	(3.19790094849745e+001dB,-2.18092234562673e+001°)
3.16227766016840e+004	(3.19221619016523e+001dB,-2.27361839628941e+001°)
3.31131121482593e+004	(3.18606732365916e+001dB,-2.36937809050856e+001°)
3.46736850452534e+004	(3.17942379678890e+001dB,-2.46819436939004e+001°)
3.63078054770103e+004	(3.17225424613898e+001dB,-2.57004596706625e+001°)
3.80189396320563e+004	(3.16452667340952e+001dB,-2.67489622164696e+001°)
3.98107170553500e+004	(3.15620865323242e+001dB,-2.78269196651763e+001°)
4.16869383470338e+004	(3.14726757249790e+001dB,-2.89336253846874e+001°)
4.36515832240169e+004	(3.13767090022930e+001dB,-3.00681894160721e+001°)
4.57088189614878e+004	(3.12738648589824e+001dB,-3.12295320725955e+001°)
4.78630092322641e+004	(3.11638288280941e+001dB,-3.24163798979814e+001°)
5.01187233627276e+004	(3.10462969185440e+001dB,-3.36272643621666e+001°)
5.24807460249776e+004	(3.09209791960182e+001dB,-3.48605236312138e+001°)
5.49540873857628e+004	(3.07876034343334e+001dB,-3.61143076847710e+001°)
5.75439937337161e+004	(3.06459187534143e+001dB,-3.73865869696824e+001°)
6.02559586074362e+004	(3.04956991516318e+001dB,-3.86751646739550e+001°)
6.30957344480198e+004	(3.03367468352266e+001dB,-3.99776925849101e+001°)
