Freq.	V(Vo)/V(Vi)
1.00000000000000e+002	(-2.35878500909155e+001dB,-9.00004569305278e+001°)
1.00230523807790e+002	(-2.35678500701517e+001dB,-9.00004579838615e+001°)
1.00461579027840e+002	(-2.35478500492921e+001dB,-9.00004590396234e+001°)
1.00693166885180e+002	(-2.35278500283362e+001dB,-9.00004600978190e+001°)
1.00925288607668e+002	(-2.35078500072836e+001dB,-9.00004611584540e+001°)
1.01157945425990e+002	(-2.34878499861338e+001dB,-9.00004622215341e+001°)
1.01391138573668e+002	(-2.34678499648863e+001dB,-9.00004632870648e+001°)
1.01624869287070e+002	(-2.34478499435408e+001dB,-9.00004643550518e+001°)
1.01859138805412e+002	(-2.34278499220968e+001dB,-9.00004654255008e+001°)
1.02093948370768e+002	(-2.34078499005538e+001dB,-9.00004664984174e+001°)
1.02329299228075e+002	(-2.33878498789114e+001dB,-9.00004675738073e+001°)
1.02565192625141e+002	(-2.33678498571690e+001dB,-9.00004686516763e+001°)
1.02801629812647e+002	(-2.33478498353263e+001dB,-9.00004697320300e+001°)
1.03038612044162e+002	(-2.33278498133828e+001dB,-9.00004708148742e+001°)
1.03276140576140e+002	(-2.33078497913380e+001dB,-9.00004719002146e+001°)
1.03514216667934e+002	(-2.32878497691915e+001dB,-9.00004729880570e+001°)
1.03752841581801e+002	(-2.32678497469427e+001dB,-9.00004740784071e+001°)
1.03992016582906e+002	(-2.32478497245912e+001dB,-9.00004751712707e+001°)
1.04231742939330e+002	(-2.32278497021365e+001dB,-9.00004762666537e+001°)
1.04472021922080e+002	(-2.32078496795782e+001dB,-9.00004773645617e+001°)
1.04712854805090e+002	(-2.31878496569158e+001dB,-9.00004784650007e+001°)
1.04954242865232e+002	(-2.31678496341488e+001dB,-9.00004795679765e+001°)
1.05196187382322e+002	(-2.31478496112767e+001dB,-9.00004806734949e+001°)
1.05438689639126e+002	(-2.31278495882990e+001dB,-9.00004817815618e+001°)
1.05681750921366e+002	(-2.31078495652152e+001dB,-9.00004828921830e+001°)
1.05925372517729e+002	(-2.30878495420249e+001dB,-9.00004840053645e+001°)
1.06169555719872e+002	(-2.30678495187276e+001dB,-9.00004851211121e+001°)
1.06414301822431e+002	(-2.30478494953227e+001dB,-9.00004862394318e+001°)
1.06659612123026e+002	(-2.30278494718098e+001dB,-9.00004873603295e+001°)
1.06905487922266e+002	(-2.30078494481884e+001dB,-9.00004884838111e+001°)
1.07151930523760e+002	(-2.29878494244579e+001dB,-9.00004896098826e+001°)
1.07398941234124e+002	(-2.29678494006179e+001dB,-9.00004907385500e+001°)
1.07646521362983e+002	(-2.29478493766679e+001dB,-9.00004918698192e+001°)
1.07894672222983e+002	(-2.29278493526073e+001dB,-9.00004930036963e+001°)
1.08143395129794e+002	(-2.29078493284356e+001dB,-9.00004941401872e+001°)
1.08392691402120e+002	(-2.28878493041524e+001dB,-9.00004952792980e+001°)
1.08642562361706e+002	(-2.28678492797571e+001dB,-9.00004964210348e+001°)
1.08893009333343e+002	(-2.28478492552492e+001dB,-9.00004975654035e+001°)
1.09144033644875e+002	(-2.28278492306281e+001dB,-9.00004987124102e+001°)
1.09395636627209e+002	(-2.28078492058935e+001dB,-9.00004998620611e+001°)
1.09647819614318e+002	(-2.27878491810446e+001dB,-9.00005010143622e+001°)
1.09900583943252e+002	(-2.27678491560811e+001dB,-9.00005021693196e+001°)
1.10153930954141e+002	(-2.27478491310023e+001dB,-9.00005033269395e+001°)
1.10407861990207e+002	(-2.27278491058078e+001dB,-9.00005044872279e+001°)
1.10662378397766e+002	(-2.27078490804969e+001dB,-9.00005056501911e+001°)
1.10917481526240e+002	(-2.26878490550693e+001dB,-9.00005068158352e+001°)
1.11173172728159e+002	(-2.26678490295243e+001dB,-9.00005079841664e+001°)
1.11429453359173e+002	(-2.26478490038613e+001dB,-9.00005091551909e+001°)
1.11686324778056e+002	(-2.26278489780799e+001dB,-9.00005103289149e+001°)
1.11943788346715e+002	(-2.26078489521795e+001dB,-9.00005115053446e+001°)
1.12201845430196e+002	(-2.25878489261596e+001dB,-9.00005126844862e+001°)
1.12460497396692e+002	(-2.25678489000196e+001dB,-9.00005138663461e+001°)
1.12719745617551e+002	(-2.25478488737589e+001dB,-9.00005150509303e+001°)
1.12979591467279e+002	(-2.25278488473769e+001dB,-9.00005162382454e+001°)
1.13240036323555e+002	(-2.25078488208732e+001dB,-9.00005174282975e+001°)
1.13501081567231e+002	(-2.24878487942472e+001dB,-9.00005186210930e+001°)
1.13762728582343e+002	(-2.24678487674983e+001dB,-9.00005198166381e+001°)
1.14024978756117e+002	(-2.24478487406259e+001dB,-9.00005210149392e+001°)
1.14287833478977e+002	(-2.24278487136295e+001dB,-9.00005222160028e+001°)
1.14551294144553e+002	(-2.24078486865084e+001dB,-9.00005234198350e+001°)
1.14815362149688e+002	(-2.23878486592622e+001dB,-9.00005246264424e+001°)
1.15080038894443e+002	(-2.23678486318902e+001dB,-9.00005258358313e+001°)
1.15345325782109e+002	(-2.23478486043919e+001dB,-9.00005270480081e+001°)
1.15611224219209e+002	(-2.23278485767666e+001dB,-9.00005282629793e+001°)
1.15877735615512e+002	(-2.23078485490139e+001dB,-9.00005294807513e+001°)
1.16144861384034e+002	(-2.22878485211330e+001dB,-9.00005307013305e+001°)
1.16412602941049e+002	(-2.22678484931234e+001dB,-9.00005319247234e+001°)
1.16680961706096e+002	(-2.22478484649846e+001dB,-9.00005331509366e+001°)
1.16949939101987e+002	(-2.22278484367158e+001dB,-9.00005343799765e+001°)
1.17219536554813e+002	(-2.22078484083166e+001dB,-9.00005356118496e+001°)
1.17489755493952e+002	(-2.21878483797863e+001dB,-9.00005368465625e+001°)
1.17760597352080e+002	(-2.21678483511243e+001dB,-9.00005380841217e+001°)
1.18032063565172e+002	(-2.21478483223300e+001dB,-9.00005393245337e+001°)
1.18304155572516e+002	(-2.21278482934028e+001dB,-9.00005405678052e+001°)
1.18576874816716e+002	(-2.21078482643421e+001dB,-9.00005418139427e+001°)
1.18850222743701e+002	(-2.20878482351473e+001dB,-9.00005430629529e+001°)
1.19124200802737e+002	(-2.20678482058176e+001dB,-9.00005443148424e+001°)
1.19398810446427e+002	(-2.20478481763527e+001dB,-9.00005455696177e+001°)
1.19674053130724e+002	(-2.20278481467517e+001dB,-9.00005468272856e+001°)
1.19949930314937e+002	(-2.20078481170140e+001dB,-9.00005480878527e+001°)
1.20226443461741e+002	(-2.19878480871391e+001dB,-9.00005493513258e+001°)
1.20503594037179e+002	(-2.19678480571263e+001dB,-9.00005506177114e+001°)
1.20781383510677e+002	(-2.19478480269750e+001dB,-9.00005518870164e+001°)
1.21059813355048e+002	(-2.19278479966845e+001dB,-9.00005531592474e+001°)
1.21338885046497e+002	(-2.19078479662542e+001dB,-9.00005544344112e+001°)
1.21618600064636e+002	(-2.18878479356834e+001dB,-9.00005557125146e+001°)
1.21898959892486e+002	(-2.18678479049716e+001dB,-9.00005569935642e+001°)
1.22179966016487e+002	(-2.18478478741179e+001dB,-9.00005582775671e+001°)
1.22461619926504e+002	(-2.18278478431219e+001dB,-9.00005595645298e+001°)
1.22743923115840e+002	(-2.18078478119827e+001dB,-9.00005608544593e+001°)
1.23026877081238e+002	(-2.17878477806999e+001dB,-9.00005621473624e+001°)
1.23310483322890e+002	(-2.17678477492726e+001dB,-9.00005634432460e+001°)
1.23594743344450e+002	(-2.17478477177003e+001dB,-9.00005647421169e+001°)
1.23879658653036e+002	(-2.17278476859823e+001dB,-9.00005660439820e+001°)
1.24165230759240e+002	(-2.17078476541178e+001dB,-9.00005673488482e+001°)
1.24451461177138e+002	(-2.16878476221063e+001dB,-9.00005686567224e+001°)
1.24738351424294e+002	(-2.16678475899470e+001dB,-9.00005699676116e+001°)
1.25025903021771e+002	(-2.16478475576393e+001dB,-9.00005712815226e+001°)
1.25314117494141e+002	(-2.16278475251824e+001dB,-9.00005725984626e+001°)
1.25602996369487e+002	(-2.16078474925758e+001dB,-9.00005739184384e+001°)
1.25892541179416e+002	(-2.15878474598186e+001dB,-9.00005752414571e+001°)
1.26182753459066e+002	(-2.15678474269102e+001dB,-9.00005765675257e+001°)
1.26473634747114e+002	(-2.15478473938500e+001dB,-9.00005778966512e+001°)
1.26765186585784e+002	(-2.15278473606371e+001dB,-9.00005792288406e+001°)
1.27057410520853e+002	(-2.15078473272709e+001dB,-9.00005805641010e+001°)
1.27350308101665e+002	(-2.14878472937507e+001dB,-9.00005819024396e+001°)
1.27643880881134e+002	(-2.14678472600758e+001dB,-9.00005832438633e+001°)
1.27938130415752e+002	(-2.14478472262455e+001dB,-9.00005845883793e+001°)
1.28233058265601e+002	(-2.14278471922590e+001dB,-9.00005859359947e+001°)
1.28528665994361e+002	(-2.14078471581156e+001dB,-9.00005872867168e+001°)
1.28824955169313e+002	(-2.13878471238146e+001dB,-9.00005886405525e+001°)
1.29121927361353e+002	(-2.13678470893553e+001dB,-9.00005899975092e+001°)
1.29419584144998e+002	(-2.13478470547370e+001dB,-9.00005913575940e+001°)
1.29717927098395e+002	(-2.13278470199588e+001dB,-9.00005927208141e+001°)
1.30016957803328e+002	(-2.13078469850202e+001dB,-9.00005940871767e+001°)
1.30316677845229e+002	(-2.12878469499202e+001dB,-9.00005954566892e+001°)
1.30617088813183e+002	(-2.12678469146583e+001dB,-9.00005968293587e+001°)
1.30918192299940e+002	(-2.12478468792335e+001dB,-9.00005982051925e+001°)
1.31219989901920e+002	(-2.12278468436453e+001dB,-9.00005995841979e+001°)
1.31522483219223e+002	(-2.12078468078928e+001dB,-9.00006009663823e+001°)
1.31825673855640e+002	(-2.11878467719753e+001dB,-9.00006023517530e+001°)
1.32129563418657e+002	(-2.11678467358919e+001dB,-9.00006037403172e+001°)
1.32434153519466e+002	(-2.11478466996421e+001dB,-9.00006051320824e+001°)
1.32739445772973e+002	(-2.11278466632249e+001dB,-9.00006065270560e+001°)
1.33045441797808e+002	(-2.11078466266396e+001dB,-9.00006079252454e+001°)
1.33352143216332e+002	(-2.10878465898854e+001dB,-9.00006093266578e+001°)
1.33659551654643e+002	(-2.10678465529616e+001dB,-9.00006107313009e+001°)
1.33967668742593e+002	(-2.10478465158674e+001dB,-9.00006121391820e+001°)
1.34276496113786e+002	(-2.10278464786019e+001dB,-9.00006135503086e+001°)
1.34586035405594e+002	(-2.10078464411645e+001dB,-9.00006149646883e+001°)
1.34896288259165e+002	(-2.09878464035542e+001dB,-9.00006163823283e+001°)
1.35207256319427e+002	(-2.09678463657703e+001dB,-9.00006178032364e+001°)
1.35518941235103e+002	(-2.09478463278121e+001dB,-9.00006192274200e+001°)
1.35831344658715e+002	(-2.09278462896786e+001dB,-9.00006206548867e+001°)
1.36144468246594e+002	(-2.09078462513691e+001dB,-9.00006220856441e+001°)
1.36458313658892e+002	(-2.08878462128827e+001dB,-9.00006235196996e+001°)
1.36772882559584e+002	(-2.08678461742188e+001dB,-9.00006249570611e+001°)
