Freq.	V(Vo)/V(Vi)
1.00000000000000e+002	(-2.35878528529455e+001dB,-9.00461409444996e+001°)
1.00230523807790e+002	(-2.35678528449306e+001dB,-9.00462473104265e+001°)
1.00461579027840e+002	(-2.35478528368788e+001dB,-9.00463539215526e+001°)
1.00693166885180e+002	(-2.35278528287899e+001dB,-9.00464607784432e+001°)
1.00925288607668e+002	(-2.35078528206636e+001dB,-9.00465678816648e+001°)
1.01157945425990e+002	(-2.34878528124997e+001dB,-9.00466752317853e+001°)
1.01391138573668e+002	(-2.34678528042982e+001dB,-9.00467828293739e+001°)
1.01624869287070e+002	(-2.34478527960589e+001dB,-9.00468906750010e+001°)
1.01859138805412e+002	(-2.34278527877815e+001dB,-9.00469987692383e+001°)
1.02093948370768e+002	(-2.34078527794659e+001dB,-9.00471071126591e+001°)
1.02329299228075e+002	(-2.33878527711119e+001dB,-9.00472157058378e+001°)
1.02565192625141e+002	(-2.33678527627194e+001dB,-9.00473245493501e+001°)
1.02801629812647e+002	(-2.33478527542881e+001dB,-9.00474336437730e+001°)
1.03038612044162e+002	(-2.33278527458179e+001dB,-9.00475429896851e+001°)
1.03276140576140e+002	(-2.33078527373086e+001dB,-9.00476525876660e+001°)
1.03514216667934e+002	(-2.32878527287600e+001dB,-9.00477624382968e+001°)
1.03752841581801e+002	(-2.32678527201720e+001dB,-9.00478725421600e+001°)
1.03992016582906e+002	(-2.32478527115444e+001dB,-9.00479828998393e+001°)
1.04231742939330e+002	(-2.32278527028769e+001dB,-9.00480935119198e+001°)
1.04472021922080e+002	(-2.32078526941694e+001dB,-9.00482043789880e+001°)
1.04712854805090e+002	(-2.31878526854217e+001dB,-9.00483155016317e+001°)
1.04954242865232e+002	(-2.31678526766336e+001dB,-9.00484268804401e+001°)
1.05196187382322e+002	(-2.31478526678050e+001dB,-9.00485385160036e+001°)
1.05438689639126e+002	(-2.31278526589356e+001dB,-9.00486504089142e+001°)
1.05681750921366e+002	(-2.31078526500253e+001dB,-9.00487625597652e+001°)
1.05925372517729e+002	(-2.30878526410738e+001dB,-9.00488749691510e+001°)
1.06169555719872e+002	(-2.30678526320811e+001dB,-9.00489876376678e+001°)
