Freq.	V(out)
1.00000000000000e-003	(1.99996973495590e+001dB,1.79999620889925e+002°)
1.00230523807790e-003	(1.99996973495581e+001dB,1.79999620015986e+002°)
1.00461579027840e-003	(1.99996973495572e+001dB,1.79999619140032e+002°)
1.00693166885180e-003	(1.99996973495563e+001dB,1.79999618262059e+002°)
1.00925288607668e-003	(1.99996973495554e+001dB,1.79999617382062e+002°)
1.01157945425990e-003	(1.99996973495545e+001dB,1.79999616500037e+002°)
1.01391138573668e-003	(1.99996973495537e+001dB,1.79999615615978e+002°)
1.01624869287070e-003	(1.99996973495527e+001dB,1.79999614729881e+002°)
1.01859138805412e-003	(1.99996973495518e+001dB,1.79999613841742e+002°)
1.02093948370768e-003	(1.99996973495509e+001dB,1.79999612951555e+002°)
1.02329299228075e-003	(1.99996973495500e+001dB,1.79999612059316e+002°)
1.02565192625141e-003	(1.99996973495491e+001dB,1.79999611165021e+002°)
1.02801629812647e-003	(1.99996973495482e+001dB,1.79999610268664e+002°)
1.03038612044162e-003	(1.99996973495473e+001dB,1.79999609370240e+002°)
1.03276140576140e-003	(1.99996973495463e+001dB,1.79999608469746e+002°)
1.03514216667934e-003	(1.99996973495454e+001dB,1.79999607567175e+002°)
1.03752841581801e-003	(1.99996973495444e+001dB,1.79999606662524e+002°)
1.03992016582906e-003	(1.99996973495435e+001dB,1.79999605755787e+002°)
1.04231742939330e-003	(1.99996973495425e+001dB,1.79999604846961e+002°)
1.04472021922080e-003	(1.99996973495416e+001dB,1.79999603936039e+002°)
1.04712854805090e-003	(1.99996973495406e+001dB,1.79999603023017e+002°)
1.04954242865232e-003	(1.99996973495397e+001dB,1.79999602107891e+002°)
1.05196187382322e-003	(1.99996973495387e+001dB,1.79999601190655e+002°)
1.05438689639126e-003	(1.99996973495377e+001dB,1.79999600271304e+002°)
1.05681750921366e-003	(1.99996973495368e+001dB,1.79999599349834e+002°)
1.05925372517729e-003	(1.99996973495358e+001dB,1.79999598426240e+002°)
1.06169555719872e-003	(1.99996973495348e+001dB,1.79999597500517e+002°)
1.06414301822431e-003	(1.99996973495338e+001dB,1.79999596572660e+002°)
1.06659612123026e-003	(1.99996973495328e+001dB,1.79999595642664e+002°)
1.06905487922266e-003	(1.99996973495318e+001dB,1.79999594710524e+002°)
1.07151930523760e-003	(1.99996973495308e+001dB,1.79999593776235e+002°)
1.07398941234124e-003	(1.99996973495298e+001dB,1.79999592839793e+002°)
1.07646521362983e-003	(1.99996973495288e+001dB,1.79999591901192e+002°)
1.07894672222983e-003	(1.99996973495278e+001dB,1.79999590960427e+002°)
1.08143395129794e-003	(1.99996973495268e+001dB,1.79999590017493e+002°)
1.08392691402120e-003	(1.99996973495257e+001dB,1.79999589072386e+002°)
1.08642562361706e-003	(1.99996973495247e+001dB,1.79999588125100e+002°)
1.08893009333343e-003	(1.99996973495237e+001dB,1.79999587175630e+002°)
1.09144033644875e-003	(1.99996973495226e+001dB,1.79999586223972e+002°)
1.09395636627209e-003	(1.99996973495216e+001dB,1.79999585270119e+002°)
1.09647819614318e-003	(1.99996973495205e+001dB,1.79999584314068e+002°)
1.09900583943252e-003	(1.99996973495195e+001dB,1.79999583355813e+002°)
1.10153930954141e-003	(1.99996973495184e+001dB,1.79999582395349e+002°)
1.10407861990207e-003	(1.99996973495173e+001dB,1.79999581432671e+002°)
1.10662378397766e-003	(1.99996973495163e+001dB,1.79999580467774e+002°)
1.10917481526240e-003	(1.99996973495152e+001dB,1.79999579500652e+002°)
1.11173172728159e-003	(1.99996973495141e+001dB,1.79999578531301e+002°)
1.11429453359173e-003	(1.99996973495130e+001dB,1.79999577559715e+002°)
1.11686324778056e-003	(1.99996973495119e+001dB,1.79999576585890e+002°)
1.11943788346715e-003	(1.99996973495108e+001dB,1.79999575609820e+002°)
1.12201845430196e-003	(1.99996973495097e+001dB,1.79999574631499e+002°)
1.12460497396692e-003	(1.99996973495086e+001dB,1.79999573650923e+002°)
1.12719745617551e-003	(1.99996973495075e+001dB,1.79999572668087e+002°)
