Freq.	V(out)/V(Vin)
1.00000000000000e-003	(1.09799789211123e+002dB,1.68201158162669e+002°)
1.00230523807790e-003	(1.09798951152722e+002dB,1.68174724026207e+002°)
1.00461579027840e-003	(1.09798109388830e+002dB,1.68148234076327e+002°)
1.00693166885180e-003	(1.09797263903784e+002dB,1.68121688217881e+002°)
1.00925288607668e-003	(1.09796414681866e+002dB,1.68095086355713e+002°)
1.01157945425990e-003	(1.09795561707293e+002dB,1.68068428394657e+002°)
1.01391138573668e-003	(1.09794704964225e+002dB,1.68041714239542e+002°)
1.01624869287070e-003	(1.09793844436761e+002dB,1.68014943795192e+002°)
1.01859138805412e-003	(1.09792980108939e+002dB,1.67988116966426e+002°)
1.02093948370768e-003	(1.09792111964737e+002dB,1.67961233658059e+002°)
1.02329299228075e-003	(1.09791239988071e+002dB,1.67934293774908e+002°)
1.02565192625141e-003	(1.09790364162798e+002dB,1.67907297221786e+002°)
1.02801629812647e-003	(1.09789484472713e+002dB,1.67880243903507e+002°)
1.03038612044162e-003	(1.09788600901548e+002dB,1.67853133724890e+002°)
1.03276140576140e-003	(1.09787713432976e+002dB,1.67825966590755e+002°)
1.03514216667934e-003	(1.09786822050608e+002dB,1.67798742405927e+002°)
1.03752841581801e-003	(1.09785926737990e+002dB,1.67771461075238e+002°)
1.03992016582906e-003	(1.09785027478611e+002dB,1.67744122503526e+002°)
1.04231742939330e-003	(1.09784124255893e+002dB,1.67716726595639e+002°)
1.04472021922080e-003	(1.09783217053200e+002dB,1.67689273256433e+002°)
1.04712854805090e-003	(1.09782305853830e+002dB,1.67661762390778e+002°)
1.04954242865232e-003	(1.09781390641020e+002dB,1.67634193903555e+002°)
1.05196187382322e-003	(1.09780471397944e+002dB,1.67606567699658e+002°)
1.05438689639126e-003	(1.09779548107712e+002dB,1.67578883683998e+002°)
1.05681750921366e-003	(1.09778620753373e+002dB,1.67551141761503e+002°)
1.05925372517729e-003	(1.09777689317910e+002dB,1.67523341837118e+002°)
1.06169555719872e-003	(1.09776753784244e+002dB,1.67495483815808e+002°)
