Freq.	V(Vi)/I(V1)
1.00000000000000e+002	(1.15409122851500e+002dB,9.00000084581759e+001°)
1.00230523807790e+002	(1.15389122830737e+002dB,9.00000084775707e+001°)
1.00461579027840e+002	(1.15369122809879e+002dB,9.00000084971498e+001°)
1.00693166885180e+002	(1.15349122788924e+002dB,9.00000085167348e+001°)
1.00925288607668e+002	(1.15329122767873e+002dB,9.00000085363695e+001°)
1.01157945425990e+002	(1.15309122746724e+002dB,9.00000085560954e+001°)
1.01391138573668e+002	(1.15289122725478e+002dB,9.00000085758031e+001°)
1.01624869287070e+002	(1.15269122704134e+002dB,9.00000085956038e+001°)
1.01859138805412e+002	(1.15249122682691e+002dB,9.00000086154580e+001°)
1.02093948370768e+002	(1.15229122661149e+002dB,9.00000086353244e+001°)
1.02329299228075e+002	(1.15209122639508e+002dB,9.00000086551597e+001°)
1.02565192625141e+002	(1.15189122617767e+002dB,9.00000086751385e+001°)
1.02801629812647e+002	(1.15169122595926e+002dB,9.00000086950664e+001°)
1.03038612044162e+002	(1.15149122573983e+002dB,9.00000087151127e+001°)
1.03276140576140e+002	(1.15129122551940e+002dB,9.00000087352250e+001°)
1.03514216667934e+002	(1.15109122529795e+002dB,9.00000087553492e+001°)
1.03752841581801e+002	(1.15089122507547e+002dB,9.00000087755740e+001°)
1.03992016582906e+002	(1.15069122485197e+002dB,9.00000087957685e+001°)
1.04231742939330e+002	(1.15049122462744e+002dB,9.00000088160888e+001°)
1.04472021922080e+002	(1.15029122440187e+002dB,9.00000088363282e+001°)
1.04712854805090e+002	(1.15009122417526e+002dB,9.00000088567810e+001°)
1.04954242865232e+002	(1.14989122394760e+002dB,9.00000088771650e+001°)
1.05196187382322e+002	(1.14969122371889e+002dB,9.00000088976259e+001°)
1.05438689639126e+002	(1.14949122348913e+002dB,9.00000089180925e+001°)
1.05681750921366e+002	(1.14929122325830e+002dB,9.00000089386338e+001°)
1.05925372517729e+002	(1.14909122302641e+002dB,9.00000089593867e+001°)
1.06169555719872e+002	(1.14889122279345e+002dB,9.00000089799901e+001°)
1.06414301822431e+002	(1.14869122255942e+002dB,9.00000090007183e+001°)
1.06659612123026e+002	(1.14849122232430e+002dB,9.00000090213483e+001°)
1.06905487922266e+002	(1.14829122208810e+002dB,9.00000090422182e+001°)
1.07151930523760e+002	(1.14809122185081e+002dB,9.00000090630309e+001°)
1.07398941234124e+002	(1.14789122161243e+002dB,9.00000090839084e+001°)
1.07646521362983e+002	(1.14769122137294e+002dB,9.00000091047604e+001°)
1.07894672222983e+002	(1.14749122113235e+002dB,9.00000091259121e+001°)
1.08143395129794e+002	(1.14729122089065e+002dB,9.00000091469206e+001°)
1.08392691402120e+002	(1.14709122064783e+002dB,9.00000091680365e+001°)
1.08642562361706e+002	(1.14689122040389e+002dB,9.00000091890917e+001°)
1.08893009333343e+002	(1.14669122015882e+002dB,9.00000092103991e+001°)
1.09144033644875e+002	(1.14649121991263e+002dB,9.00000092315796e+001°)
1.09395636627209e+002	(1.14629121966530e+002dB,9.00000092528720e+001°)
1.09647819614318e+002	(1.14609121941682e+002dB,9.00000092741685e+001°)
1.09900583943252e+002	(1.14589121916720e+002dB,9.00000092955648e+001°)
1.10153930954141e+002	(1.14569121891643e+002dB,9.00000093170170e+001°)
1.10407861990207e+002	(1.14549121866450e+002dB,9.00000093384114e+001°)
1.10662378397766e+002	(1.14529121841140e+002dB,9.00000093599717e+001°)
1.10917481526240e+002	(1.14509121815714e+002dB,9.00000093815791e+001°)
1.11173172728159e+002	(1.14489121790171e+002dB,9.00000094032484e+001°)
1.11429453359173e+002	(1.14469121764509e+002dB,9.00000094248573e+001°)
1.11686324778056e+002	(1.14449121738729e+002dB,9.00000094466179e+001°)
1.11943788346715e+002	(1.14429121712830e+002dB,9.00000094683359e+001°)
1.12201845430196e+002	(1.14409121686812e+002dB,9.00000094902174e+001°)
1.12460497396692e+002	(1.14389121660673e+002dB,9.00000095120643e+001°)
1.12719745617551e+002	(1.14369121634414e+002dB,9.00000095340102e+001°)
1.12979591467279e+002	(1.14349121608034e+002dB,9.00000095559860e+001°)
1.13240036323555e+002	(1.14329121581532e+002dB,9.00000095780532e+001°)
1.13501081567231e+002	(1.14309121554907e+002dB,9.00000096000723e+001°)
1.13762728582343e+002	(1.14289121528160e+002dB,9.00000096222978e+001°)
1.14024978756117e+002	(1.14269121501289e+002dB,9.00000096443876e+001°)
1.14287833478977e+002	(1.14249121474294e+002dB,9.00000096666566e+001°)
1.14551294144553e+002	(1.14229121447175e+002dB,9.00000096889557e+001°)
1.14815362149688e+002	(1.14209121419930e+002dB,9.00000097113310e+001°)
1.15080038894443e+002	(1.14189121392560e+002dB,9.00000097336300e+001°)
1.15345325782109e+002	(1.14169121365063e+002dB,9.00000097561542e+001°)
1.15611224219209e+002	(1.14149121337439e+002dB,9.00000097784863e+001°)
1.15877735615512e+002	(1.14129121309688e+002dB,9.00000098010517e+001°)
1.16144861384034e+002	(1.14109121281809e+002dB,9.00000098236883e+001°)
1.16412602941049e+002	(1.14089121253801e+002dB,9.00000098463617e+001°)
1.16680961706096e+002	(1.14069121225664e+002dB,9.00000098690352e+001°)
1.16949939101987e+002	(1.14049121197397e+002dB,9.00000098918626e+001°)
1.17219536554813e+002	(1.14029121168999e+002dB,9.00000099146095e+001°)
1.17489755493952e+002	(1.14009121140471e+002dB,9.00000099374881e+001°)
1.17760597352080e+002	(1.13989121111810e+002dB,9.00000099603242e+001°)
1.18032063565172e+002	(1.13969121083018e+002dB,9.00000099833234e+001°)
1.18304155572516e+002	(1.13949121054092e+002dB,9.00000100063069e+001°)
1.18576874816716e+002	(1.13929121025033e+002dB,9.00000100294110e+001°)
1.18850222743701e+002	(1.13909120995840e+002dB,9.00000100525789e+001°)
1.19124200802737e+002	(1.13889120966512e+002dB,9.00000100756259e+001°)
1.19398810446427e+002	(1.13869120937049e+002dB,9.00000100988688e+001°)
1.19674053130724e+002	(1.13849120907450e+002dB,9.00000101221803e+001°)
1.19949930314937e+002	(1.13829120877714e+002dB,9.00000101456193e+001°)
1.20226443461741e+002	(1.13809120847841e+002dB,9.00000101689294e+001°)
1.20503594037179e+002	(1.13789120817830e+002dB,9.00000101924765e+001°)
1.20781383510677e+002	(1.13769120787680e+002dB,9.00000102158133e+001°)
