Freq.	V(Vi)/I(V1)
1.00000000000000e+002	(1.15409125613530e+002dB,9.00456924720749e+001°)
1.00230523807790e+002	(1.15389125605516e+002dB,9.00457978041885e+001°)
1.00461579027840e+002	(1.15369125597466e+002dB,9.00459033791163e+001°)
1.00693166885180e+002	(1.15349125589378e+002dB,9.00460091973962e+001°)
1.00925288607668e+002	(1.15329125581253e+002dB,9.00461152596193e+001°)
1.01157945425990e+002	(1.15309125573090e+002dB,9.00462215663549e+001°)
1.01391138573668e+002	(1.15289125564890e+002dB,9.00463281180767e+001°)
1.01624869287070e+002	(1.15269125556652e+002dB,9.00464349155328e+001°)
1.01859138805412e+002	(1.15249125548376e+002dB,9.00465419590800e+001°)
1.02093948370768e+002	(1.15229125540061e+002dB,9.00466492494958e+001°)
1.02329299228075e+002	(1.15209125531709e+002dB,9.00467567871678e+001°)
1.02565192625141e+002	(1.15189125523317e+002dB,9.00468645727558e+001°)
1.02801629812647e+002	(1.15169125514887e+002dB,9.00469726068242e+001°)
1.03038612044162e+002	(1.15149125506418e+002dB,9.00470808899153e+001°)
1.03276140576140e+002	(1.15129125497910e+002dB,9.00471894226951e+001°)
1.03514216667934e+002	(1.15109125489363e+002dB,9.00472982055894e+001°)
1.03752841581801e+002	(1.15089125480776e+002dB,9.00474072392925e+001°)
1.03992016582906e+002	(1.15069125472150e+002dB,9.00475165243313e+001°)
1.04231742939330e+002	(1.15049125463484e+002dB,9.00476260613547e+001°)
1.04472021922080e+002	(1.15029125454778e+002dB,9.00477358507737e+001°)
1.04712854805090e+002	(1.15009125446031e+002dB,9.00478458934082e+001°)
1.04954242865232e+002	(1.14989125437245e+002dB,9.00479561896248e+001°)
1.05196187382322e+002	(1.14969125428417e+002dB,9.00480667401263e+001°)
1.05438689639126e+002	(1.14949125419549e+002dB,9.00481775455209e+001°)
1.05681750921366e+002	(1.14929125410640e+002dB,9.00482886062522e+001°)
1.05925372517729e+002	(1.14909125401690e+002dB,9.00483999230965e+001°)
1.06169555719872e+002	(1.14889125392699e+002dB,9.00485114965233e+001°)
1.06414301822431e+002	(1.14869125383666e+002dB,9.00486233271217e+001°)
1.06659612123026e+002	(1.14849125374591e+002dB,9.00487354155987e+001°)
1.06905487922266e+002	(1.14829125365475e+002dB,9.00488477623568e+001°)
1.07151930523760e+002	(1.14809125356316e+002dB,9.00489603681975e+001°)
1.07398941234124e+002	(1.14789125347115e+002dB,9.00490732335487e+001°)
1.07646521362983e+002	(1.14769125337872e+002dB,9.00491863590952e+001°)
1.07894672222983e+002	(1.14749125328586e+002dB,9.00492997454984e+001°)
1.08143395129794e+002	(1.14729125319257e+002dB,9.00494133931880e+001°)
1.08392691402120e+002	(1.14709125309885e+002dB,9.00495273029182e+001°)
1.08642562361706e+002	(1.14689125300470e+002dB,9.00496414752807e+001°)
1.08893009333343e+002	(1.14669125291012e+002dB,9.00497559107752e+001°)
