Freq.	V(Vin)/I(V1)
1.00000000000000e-003	(9.18215672571774e+001dB,-1.79999999973752e+002°)
1.00230523807790e-003	(9.18215672571774e+001dB,-1.79999999973692e+002°)
1.00461579027840e-003	(9.18215672571774e+001dB,-1.79999999973631e+002°)
1.00693166885180e-003	(9.18215672571774e+001dB,-1.79999999973570e+002°)
1.00925288607668e-003	(9.18215672571774e+001dB,-1.79999999973509e+002°)
1.01157945425990e-003	(9.18215672571774e+001dB,-1.79999999973448e+002°)
1.01391138573668e-003	(9.18215672571774e+001dB,-1.79999999973387e+002°)
1.01624869287070e-003	(9.18215672571774e+001dB,-1.79999999973326e+002°)
1.01859138805412e-003	(9.18215672571774e+001dB,-1.79999999973264e+002°)
1.02093948370768e-003	(9.18215672571774e+001dB,-1.79999999973203e+002°)
1.02329299228075e-003	(9.18215672571774e+001dB,-1.79999999973141e+002°)
1.02565192625141e-003	(9.18215672571774e+001dB,-1.79999999973079e+002°)
1.02801629812647e-003	(9.18215672571774e+001dB,-1.79999999973017e+002°)
1.03038612044162e-003	(9.18215672571774e+001dB,-1.79999999972955e+002°)
1.03276140576140e-003	(9.18215672571774e+001dB,-1.79999999972892e+002°)
1.03514216667934e-003	(9.18215672571774e+001dB,-1.79999999972830e+002°)
1.03752841581801e-003	(9.18215672571774e+001dB,-1.79999999972767e+002°)
1.03992016582906e-003	(9.18215672571774e+001dB,-1.79999999972704e+002°)
1.04231742939330e-003	(9.18215672571774e+001dB,-1.79999999972641e+002°)
1.04472021922080e-003	(9.18215672571774e+001dB,-1.79999999972578e+002°)
1.04712854805090e-003	(9.18215672571774e+001dB,-1.79999999972515e+002°)
1.04954242865232e-003	(9.18215672571774e+001dB,-1.79999999972452e+002°)
1.05196187382322e-003	(9.18215672571774e+001dB,-1.79999999972388e+002°)
1.05438689639126e-003	(9.18215672571774e+001dB,-1.79999999972325e+002°)
1.05681750921366e-003	(9.18215672571774e+001dB,-1.79999999972261e+002°)
1.05925372517729e-003	(9.18215672571774e+001dB,-1.79999999972197e+002°)
1.06169555719872e-003	(9.18215672571774e+001dB,-1.79999999972133e+002°)
1.06414301822431e-003	(9.18215672571774e+001dB,-1.79999999972069e+002°)
1.06659612123026e-003	(9.18215672571774e+001dB,-1.79999999972004e+002°)
1.06905487922266e-003	(9.18215672571774e+001dB,-1.79999999971940e+002°)
1.07151930523760e-003	(9.18215672571774e+001dB,-1.79999999971875e+002°)
1.07398941234124e-003	(9.18215672571774e+001dB,-1.79999999971810e+002°)
1.07646521362983e-003	(9.18215672571774e+001dB,-1.79999999971745e+002°)
1.07894672222983e-003	(9.18215672571774e+001dB,-1.79999999971680e+002°)
1.08143395129794e-003	(9.18215672571774e+001dB,-1.79999999971615e+002°)
1.08392691402120e-003	(9.18215672571774e+001dB,-1.79999999971549e+002°)
1.08642562361706e-003	(9.18215672571774e+001dB,-1.79999999971484e+002°)
1.08893009333343e-003	(9.18215672571774e+001dB,-1.79999999971418e+002°)
1.09144033644875e-003	(9.18215672571774e+001dB,-1.79999999971352e+002°)
1.09395636627209e-003	(9.18215672571774e+001dB,-1.79999999971286e+002°)
1.09647819614318e-003	(9.18215672571774e+001dB,-1.79999999971220e+002°)
1.09900583943252e-003	(9.18215672571774e+001dB,-1.79999999971154e+002°)
1.10153930954141e-003	(9.18215672571774e+001dB,-1.79999999971087e+002°)
1.10407861990207e-003	(9.18215672571774e+001dB,-1.79999999971020e+002°)
1.10662378397766e-003	(9.18215672571774e+001dB,-1.79999999970954e+002°)
1.10917481526240e-003	(9.18215672571774e+001dB,-1.79999999970887e+002°)
1.11173172728159e-003	(9.18215672571774e+001dB,-1.79999999970819e+002°)
1.11429453359173e-003	(9.18215672571774e+001dB,-1.79999999970752e+002°)
1.11686324778056e-003	(9.18215672571774e+001dB,-1.79999999970685e+002°)
1.11943788346715e-003	(9.18215672571774e+001dB,-1.79999999970617e+002°)
1.12201845430196e-003	(9.18215672571774e+001dB,-1.79999999970549e+002°)
1.12460497396692e-003	(9.18215672571774e+001dB,-1.79999999970482e+002°)
1.12719745617551e-003	(9.18215672571774e+001dB,-1.79999999970414e+002°)
1.12979591467279e-003	(9.18215672571774e+001dB,-1.79999999970345e+002°)
1.13240036323555e-003	(9.18215672571774e+001dB,-1.79999999970277e+002°)
1.13501081567231e-003	(9.18215672571774e+001dB,-1.79999999970208e+002°)
1.13762728582343e-003	(9.18215672571774e+001dB,-1.79999999970140e+002°)
1.14024978756117e-003	(9.18215672571774e+001dB,-1.79999999970071e+002°)
1.14287833478977e-003	(9.18215672571774e+001dB,-1.79999999970002e+002°)
1.14551294144553e-003	(9.18215672571774e+001dB,-1.79999999969933e+002°)
1.14815362149688e-003	(9.18215672571774e+001dB,-1.79999999969863e+002°)
1.15080038894443e-003	(9.18215672571774e+001dB,-1.79999999969794e+002°)
1.15345325782109e-003	(9.18215672571774e+001dB,-1.79999999969724e+002°)
1.15611224219209e-003	(9.18215672571774e+001dB,-1.79999999969655e+002°)
1.15877735615512e-003	(9.18215672571774e+001dB,-1.79999999969585e+002°)
1.16144861384034e-003	(9.18215672571774e+001dB,-1.79999999969514e+002°)
1.16412602941049e-003	(9.18215672571774e+001dB,-1.79999999969444e+002°)
1.16680961706096e-003	(9.18215672571774e+001dB,-1.79999999969374e+002°)
1.16949939101987e-003	(9.18215672571774e+001dB,-1.79999999969303e+002°)
1.17219536554813e-003	(9.18215672571774e+001dB,-1.79999999969232e+002°)
