Freq.	V(Vin)/I(V1)
1.00000000000000e-003	(1.05609309952994e+002dB,1.01820236718491e+002°)
1.00230523807790e-003	(1.05590148014177e+002dB,1.01846621648079e+002°)
1.00461579027840e-003	(1.05570989780839e+002dB,1.01873062504257e+002°)
1.00693166885180e-003	(1.05551835268641e+002dB,1.01899559381914e+002°)
1.00925288607668e-003	(1.05532684493304e+002dB,1.01926112375946e+002°)
1.01157945425990e-003	(1.05513537470608e+002dB,1.01952721581259e+002°)
1.01391138573668e-003	(1.05494394216395e+002dB,1.01979387092765e+002°)
1.01624869287070e-003	(1.05475254746566e+002dB,1.02006109005384e+002°)
1.01859138805412e-003	(1.05456119077082e+002dB,1.02032887414039e+002°)
1.02093948370768e-003	(1.05436987223966e+002dB,1.02059722413657e+002°)
1.02329299228075e-003	(1.05417859203300e+002dB,1.02086614099168e+002°)
1.02565192625141e-003	(1.05398735031230e+002dB,1.02113562565500e+002°)
1.02801629812647e-003	(1.05379614723961e+002dB,1.02140567907585e+002°)
1.03038612044162e-003	(1.05360498297758e+002dB,1.02167630220351e+002°)
1.03276140576140e-003	(1.05341385768951e+002dB,1.02194749598723e+002°)
1.03514216667934e-003	(1.05322277153928e+002dB,1.02221926137624e+002°)
1.03752841581801e-003	(1.05303172469142e+002dB,1.02249159931968e+002°)
1.03992016582906e-003	(1.05284071731106e+002dB,1.02276451076665e+002°)
1.04231742939330e-003	(1.05264974956396e+002dB,1.02303799666616e+002°)
1.04472021922080e-003	(1.05245882161651e+002dB,1.02331205796714e+002°)
1.04712854805090e-003	(1.05226793363570e+002dB,1.02358669561840e+002°)
1.04954242865232e-003	(1.05207708578918e+002dB,1.02386191056862e+002°)
1.05196187382322e-003	(1.05188627824520e+002dB,1.02413770376636e+002°)
1.05438689639126e-003	(1.05169551117265e+002dB,1.02441407616004e+002°)
1.05681750921366e-003	(1.05150478474107e+002dB,1.02469102869789e+002°)
1.05925372517729e-003	(1.05131409912061e+002dB,1.02496856232800e+002°)
1.06169555719872e-003	(1.05112345448207e+002dB,1.02524667799823e+002°)
1.06414301822431e-003	(1.05093285099687e+002dB,1.02552537665628e+002°)
1.06659612123026e-003	(1.05074228883709e+002dB,1.02580465924960e+002°)
1.06905487922266e-003	(1.05055176817543e+002dB,1.02608452672543e+002°)
1.07151930523760e-003	(1.05036128918526e+002dB,1.02636498003073e+002°)
1.07398941234124e-003	(1.05017085204055e+002dB,1.02664602011225e+002°)
1.07646521362983e-003	(1.04998045691596e+002dB,1.02692764791642e+002°)
1.07894672222983e-003	(1.04979010398678e+002dB,1.02720986438941e+002°)
1.08143395129794e-003	(1.04959979342894e+002dB,1.02749267047706e+002°)
1.08392691402120e-003	(1.04940952541903e+002dB,1.02777606712491e+002°)
1.08642562361706e-003	(1.04921930013430e+002dB,1.02806005527817e+002°)
1.08893009333343e-003	(1.04902911775263e+002dB,1.02834463588167e+002°)
1.09144033644875e-003	(1.04883897845257e+002dB,1.02862980987991e+002°)
1.09395636627209e-003	(1.04864888241334e+002dB,1.02891557821700e+002°)
1.09647819614318e-003	(1.04845882981480e+002dB,1.02920194183664e+002°)
1.09900583943252e-003	(1.04826882083748e+002dB,1.02948890168214e+002°)
1.10153930954141e-003	(1.04807885566256e+002dB,1.02977645869637e+002°)
1.10407861990207e-003	(1.04788893447191e+002dB,1.03006461382176e+002°)
1.10662378397766e-003	(1.04769905744802e+002dB,1.03035336800031e+002°)
1.10917481526240e-003	(1.04750922477411e+002dB,1.03064272217350e+002°)
1.11173172728159e-003	(1.04731943663400e+002dB,1.03093267728235e+002°)
1.11429453359173e-003	(1.04712969321225e+002dB,1.03122323426738e+002°)
1.11686324778056e-003	(1.04693999469402e+002dB,1.03151439406857e+002°)
1.11943788346715e-003	(1.04675034126521e+002dB,1.03180615762538e+002°)
1.12201845430196e-003	(1.04656073311236e+002dB,1.03209852587670e+002°)
1.12460497396692e-003	(1.04637117042268e+002dB,1.03239149976086e+002°)
1.12719745617551e-003	(1.04618165338408e+002dB,1.03268508021560e+002°)
1.12979591467279e-003	(1.04599218218515e+002dB,1.03297926817807e+002°)
1.13240036323555e-003	(1.04580275701514e+002dB,1.03327406458478e+002°)
1.13501081567231e-003	(1.04561337806400e+002dB,1.03356947037160e+002°)
1.13762728582343e-003	(1.04542404552237e+002dB,1.03386548647378e+002°)
1.14024978756117e-003	(1.04523475958156e+002dB,1.03416211382586e+002°)
1.14287833478977e-003	(1.04504552043358e+002dB,1.03445935336172e+002°)
1.14551294144553e-003	(1.04485632827113e+002dB,1.03475720601451e+002°)
1.14815362149688e-003	(1.04466718328760e+002dB,1.03505567271668e+002°)
1.15080038894443e-003	(1.04447808567706e+002dB,1.03535475439993e+002°)
1.15345325782109e-003	(1.04428903563430e+002dB,1.03565445199519e+002°)
1.15611224219209e-003	(1.04410003335478e+002dB,1.03595476643265e+002°)
1.15877735615512e-003	(1.04391107903468e+002dB,1.03625569864165e+002°)
1.16144861384034e-003	(1.04372217287087e+002dB,1.03655724955078e+002°)
