Freq.	V(n001)	V(n002)	I(C1)	I(R1)	I(V1)
1.00000000000000e-001	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-4.28631451720048e-007dB,-1.79999994078238e-002°)	(-1.04036403061469e+002dB,8.99820000005922e+001°)	(-1.04036403061469e+002dB,-9.00179999994215e+001°)	(-1.04036403061469e+002dB,-9.00179999994190e+001°)
1.00230523807790e-001	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-4.30609924872263e-007dB,-1.80414936891212e-002°)	(-1.04016403063448e+002dB,8.99819585063109e+001°)	(-1.04016403063448e+002dB,-9.00180414937019e+001°)	(-1.04016403063448e+002dB,-9.00180414937170e+001°)
1.00461579027840e-001	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-4.32597528277837e-007dB,-1.80830836245969e-002°)	(-1.03996403065435e+002dB,8.99819169163754e+001°)	(-1.03996403065435e+002dB,-9.00180830835947e+001°)	(-1.03996403065435e+002dB,-9.00180830835859e+001°)
1.00693166885180e-001	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-4.34594310153152e-007dB,-1.81247694347564e-002°)	(-1.03976403067432e+002dB,8.99818752305653e+001°)	(-1.03976403067432e+002dB,-9.00181247694532e+001°)	(-1.03976403067432e+002dB,-9.00181247694683e+001°)
1.00925288607668e-001	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-4.36600306178331e-007dB,-1.81665513406135e-002°)	(-1.03956403069438e+002dB,8.99818334486594e+001°)	(-1.03956403069438e+002dB,-9.00181665513607e+001°)	(-1.03956403069438e+002dB,-9.00181665513582e+001°)
1.01157945425990e-001	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-4.38615559748121e-007dB,-1.82084295636916e-002°)	(-1.03936403071453e+002dB,8.99817915704363e+001°)	(-1.03936403071453e+002dB,-9.00182084295544e+001°)	(-1.03936403071453e+002dB,-9.00182084295569e+001°)
1.01391138573668e-001	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-4.40640117150247e-007dB,-1.82504043260246e-002°)	(-1.03916403073478e+002dB,8.99817495956740e+001°)	(-1.03916403073478e+002dB,-9.00182504043037e+001°)	(-1.03916403073478e+002dB,-9.00182504042950e+001°)
1.01624869287070e-001	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-4.42674019850800e-007dB,-1.82924758501584e-002°)	(-1.03896403075512e+002dB,8.99817075241498e+001°)	(-1.03896403075512e+002dB,-9.00182924758500e+001°)	(-1.03896403075512e+002dB,-9.00182924758575e+001°)
1.01859138805412e-001	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-4.44717310280197e-007dB,-1.83346443591519e-002°)	(-1.03876403077555e+002dB,8.99816653556409e+001°)	(-1.03876403077555e+002dB,-9.00183346443474e+001°)	(-1.03876403077555e+002dB,-9.00183346443350e+001°)
1.02093948370768e-001	(0.00000000000000e+000dB,0.00000000000000e+000°)	(-4.46770033761837e-007dB,-1.83769100765780e-002°)	(-1.03856403079608e+002dB,8.99816230899234e+001°)	(-1.03856403079608e+002dB,-9.00183769101015e+001°)	(-1.03856403079608e+002dB,-9.00183769100903e+001°)
