Freq.	V(a)/V(c)
1.00000000000000e+000	(5.20825258007535e+001dB,-8.98574402941880e+001°)
1.25892541179417e+000	(5.00825415263638e+001dB,-8.98205281802755e+001°)
1.58489319246111e+000	(4.80825664496601e+001dB,-8.97740587976596e+001°)
1.99526231496888e+000	(4.60826059501296e+001dB,-8.97155577411704e+001°)
2.51188643150958e+000	(4.40826685534189e+001dB,-8.96419101327973e+001°)
3.16227766016838e+000	(4.20827677710976e+001dB,-8.95491949994962e+001°)
3.98107170553497e+000	(4.00829250158780e+001dB,-8.94324769786420e+001°)
5.01187233627272e+000	(3.80831742203986e+001dB,-8.92855445124959e+001°)
6.30957344480194e+000	(3.60835691536576e+001dB,-8.91005810957378e+001°)
7.94328234724282e+000	(3.40841950071349e+001dB,-8.88677530778390e+001°)
1.00000000000000e+001	(3.20851867333422e+001dB,-8.85746940798464e+001°)
1.25892541179417e+001	(3.00867580497173e+001dB,-8.82058625719993e+001°)
1.58489319246111e+001	(2.80892472543857e+001dB,-8.77417463610740e+001°)
1.99526231496888e+001	(2.60931894577792e+001dB,-8.71578874211020e+001°)
2.51188643150958e+001	(2.40994301082959e+001dB,-8.64237063885793e+001°)
3.16227766016838e+001	(2.21093025403179e+001dB,-8.55011256387815e+001°)
3.98107170553498e+001	(2.01249034651439e+001dB,-8.43430377356150e+001°)
5.01187233627273e+001	(1.81495150381435e+001dB,-8.28917692366588e+001°)
6.30957344480194e+001	(1.61882382857466e+001dB,-8.10778951598840e+001°)
7.94328234724283e+001	(1.42489118959363e+001dB,-7.88201384366550e+001°)
1.00000000000000e+002	(1.23433697845771e+001dB,-7.60277224744119e+001°)
1.25892541179417e+002	(1.04889902885927e+001dB,-7.26074380954940e+001°)
1.58489319246112e+002	(8.71022494449521e+000dB,-6.84785087729954e+001°)
1.99526231496888e+002	(7.03928962164648e+000dB,-6.35979239985655e+001°)
2.51188643150958e+002	(5.51457135880476e+000dB,-5.79949110692303e+001°)
3.16227766016838e+002	(4.17519474599905e+000dB,-5.18036452190736e+001°)
3.98107170553498e+002	(3.05174530532469e+000dB,-4.52720946692710e+001°)
5.01187233627273e+002	(2.15652794891808e+000dB,-3.87264307189611e+001°)
6.30957344480194e+002	(1.47905599231380e+000dB,-3.24962704091464e+001°)
7.94328234724283e+002	(9.89916625779841e-001dB,-2.68380513248739e+001°)
1.00000000000000e+003	(6.50299720939136e-001dB,-2.18955112745955e+001°)
1.25892541179417e+003	(4.21491847865302e-001dB,-1.77054550734566e+001°)
1.58489319246112e+003	(2.70664135232650e-001dB,-1.42294460376996e+001°)
1.99526231496888e+003	(1.72730509022476e-001dB,-1.13887127135825e+001°)
2.51188643150959e+003	(1.09782599433911e-001dB,-9.09037906937414e+000°)
3.16227766016839e+003	(6.95905118601409e-002dB,-7.24311560722475e+000°)
3.98107170553498e+003	(4.40382880369544e-002dB,-5.76472564284043e+000°)
5.01187233627273e+003	(2.78382254670513e-002dB,-4.58478781026956e+000°)
6.30957344480195e+003	(1.75854963680395e-002dB,-3.64469538346738e+000°)
7.94328234724283e+003	(1.11039854788395e-002dB,-2.89652567313839e+000°)
1.00000000000000e+004	(7.00944582194780e-003dB,-2.30151550377336e+000°)
1.25892541179417e+004	(4.42397826937060e-003dB,-1.82852163040346e+000°)
1.58489319246112e+004	(2.79186620661553e-003dB,-1.45262833722334e+000°)
1.99526231496889e+004	(1.76175743051120e-003dB,-1.15395494161588e+000°)
2.51188643150959e+004	(1.11167699299516e-003dB,-9.16664730062457e-001°)
3.16227766016839e+004	(7.01453892533497e-004dB,-7.28155603693577e-001°)
3.98107170553498e+004	(4.42600675598696e-004dB,-5.78406046982756e-001°)
5.01187233627274e+004	(2.79267398430289e-004dB,-4.59450014081060e-001°)
6.30957344480195e+004	(1.76207906854495e-004dB,-3.64957005487259e-001°)
7.94328234724284e+004	(1.11180505346360e-004dB,-2.89897100809031e-001°)
1.00000000000000e+005	(7.01504877849936e-005dB,-2.30274177510785e-001°)
1.25892541179417e+005	(4.42620974081203e-005dB,-1.82913644375769e-001°)
1.58489319246112e+005	(2.79275479642642e-005dB,-1.45293654402074e-001°)
1.99526231496889e+005	(1.76211124119732e-005dB,-1.15410943313481e-001°)
2.51188643150959e+005	(1.11181786159890e-005dB,-9.16742166263784e-002°)
3.16227766016839e+005	(7.01509976888502e-006dB,-7.28194415950779e-002°)
3.98107170553499e+005	(4.42623004182004e-006dB,-5.78425499893207e-002°)
5.01187233627274e+005	(2.79276287830636e-006dB,-4.59459763853642e-002°)
6.30957344480196e+005	(1.76211445777965e-006dB,-3.64961892019079e-002°)
7.94328234724285e+005	(1.11181914445490e-006dB,-2.89899549898619e-002°)
1.00000000000000e+006	(7.01510486813114e-007dB,-2.30275404970249e-002°)
