v1	V(n002)	I(D1)
-5.000000000000000e+000	-4.999998e+000	-2.525001e-009
-4.990000000000000e+000	-4.989997e+000	-2.524991e-009
-4.980000000000000e+000	-4.979998e+000	-2.524980e-009
-4.970000000000001e+000	-4.969997e+000	-2.524971e-009
-4.960000000000001e+000	-4.959998e+000	-2.524961e-009
-4.950000000000001e+000	-4.949997e+000	-2.524950e-009
-4.940000000000001e+000	-4.939998e+000	-2.524941e-009
-4.930000000000002e+000	-4.929997e+000	-2.524930e-009
-4.920000000000002e+000	-4.919998e+000	-2.524921e-009
-4.910000000000002e+000	-4.909997e+000	-2.524911e-009
-4.900000000000002e+000	-4.899998e+000	-2.524901e-009
-4.890000000000002e+000	-4.889997e+000	-2.524891e-009
-4.880000000000003e+000	-4.879997e+000	-2.524880e-009
-4.870000000000003e+000	-4.869998e+000	-2.524871e-009
-4.860000000000003e+000	-4.859997e+000	-2.524861e-009
-4.850000000000003e+000	-4.849998e+000	-2.524850e-009
-4.840000000000003e+000	-4.839997e+000	-2.524841e-009
-4.830000000000004e+000	-4.829998e+000	-2.524830e-009
-4.820000000000004e+000	-4.819997e+000	-2.524821e-009
-4.810000000000004e+000	-4.809998e+000	-2.524811e-009
-4.800000000000004e+000	-4.799997e+000	-2.524800e-009
-4.790000000000005e+000	-4.789998e+000	-2.524791e-009
-4.780000000000005e+000	-4.779997e+000	-2.524780e-009
-4.770000000000005e+000	-4.769998e+000	-2.524771e-009
-4.760000000000005e+000	-4.759997e+000	-2.524761e-009
-4.750000000000005e+000	-4.749998e+000	-2.524750e-009
-4.740000000000006e+000	-4.739997e+000	-2.524741e-009
-4.730000000000006e+000	-4.729998e+000	-2.524730e-009
-4.720000000000006e+000	-4.719997e+000	-2.524721e-009
-4.710000000000006e+000	-4.709998e+000	-2.524711e-009
-4.700000000000006e+000	-4.699997e+000	-2.524700e-009
-4.690000000000007e+000	-4.689998e+000	-2.524691e-009
-4.680000000000007e+000	-4.679997e+000	-2.524680e-009
-4.670000000000007e+000	-4.669998e+000	-2.524671e-009
-4.660000000000007e+000	-4.659997e+000	-2.524661e-009
-4.650000000000008e+000	-4.649998e+000	-2.524650e-009
-4.640000000000008e+000	-4.639997e+000	-2.524641e-009
-4.630000000000008e+000	-4.629997e+000	-2.524630e-009
-4.620000000000008e+000	-4.619998e+000	-2.524621e-009
-4.610000000000008e+000	-4.609997e+000	-2.524611e-009
-4.600000000000009e+000	-4.599998e+000	-2.524600e-009
-4.590000000000009e+000	-4.589997e+000	-2.524591e-009
-4.580000000000009e+000	-4.579998e+000	-2.524580e-009
-4.570000000000009e+000	-4.569997e+000	-2.524571e-009
-4.560000000000009e+000	-4.559998e+000	-2.524561e-009
-4.550000000000010e+000	-4.549997e+000	-2.524550e-009
-4.540000000000010e+000	-4.539998e+000	-2.524541e-009
-4.530000000000010e+000	-4.529997e+000	-2.524530e-009
-4.520000000000010e+000	-4.519998e+000	-2.524521e-009
-4.510000000000010e+000	-4.509997e+000	-2.524511e-009
-4.500000000000011e+000	-4.499998e+000	-2.524500e-009
-4.490000000000011e+000	-4.489997e+000	-2.524491e-009
-4.480000000000011e+000	-4.479998e+000	-2.524482e-009
-4.470000000000011e+000	-4.469997e+000	-2.524470e-009
-4.460000000000012e+000	-4.459998e+000	-2.524461e-009
-4.450000000000012e+000	-4.449997e+000	-2.524450e-009
-4.440000000000012e+000	-4.439998e+000	-2.524441e-009
-4.430000000000012e+000	-4.429997e+000	-2.524431e-009
-4.420000000000012e+000	-4.419998e+000	-2.524420e-009
-4.410000000000013e+000	-4.409997e+000	-2.524411e-009
-4.400000000000013e+000	-4.399998e+000	-2.524400e-009
-4.390000000000013e+000	-4.389997e+000	-2.524391e-009
-4.380000000000013e+000	-4.379997e+000	-2.524381e-009
-4.370000000000013e+000	-4.369998e+000	-2.524370e-009
-4.360000000000014e+000	-4.359997e+000	-2.524361e-009
