x-axis,1,2,MATH
second,Volt,Volt,Volt
-2.685000E-03,+687.500000E-03,+6.520155907E+00,+5.825550079E+00
-2.680000E-03,+687.500000E-03,+6.539687157E+00,+5.837268829E+00
-2.675000E-03,+687.500000E-03,+6.549452782E+00,+5.852893829E+00
-2.670000E-03,+687.500000E-03,+6.559218407E+00,+5.864612579E+00
-2.665000E-03,+687.500000E-03,+6.578749657E+00,+5.880237579E+00
-2.660000E-03,+687.500000E-03,+6.588515282E+00,+5.891956329E+00
-2.655000E-03,+687.500000E-03,+6.608046532E+00,+5.907581329E+00
-2.650000E-03,+687.500000E-03,+6.617812157E+00,+5.919300079E+00
-2.645000E-03,+687.500000E-03,+6.637343407E+00,+5.938831329E+00
-2.640000E-03,+687.500000E-03,+6.647109032E+00,+5.950550079E+00
-2.635000E-03,+691.406250E-03,+6.666640282E+00,+5.970081329E+00
-2.630000E-03,+691.406250E-03,+6.686171532E+00,+5.985706329E+00
-2.625000E-03,+687.500000E-03,+6.705702782E+00,+6.005237579E+00
-2.620000E-03,+687.500000E-03,+6.715468407E+00,+6.020862579E+00
-2.615000E-03,+691.406250E-03,+6.734999657E+00,+6.036487579E+00
-2.610000E-03,+691.406250E-03,+6.754530907E+00,+6.052112579E+00
-2.605000E-03,+691.406250E-03,+6.764296532E+00,+6.067737579E+00
-2.600000E-03,+691.406250E-03,+6.783827782E+00,+6.087268829E+00
-2.595000E-03,+691.406250E-03,+6.803359032E+00,+6.098987579E+00
-2.590000E-03,+691.406250E-03,+6.813124657E+00,+6.118518829E+00
-2.585000E-03,+691.406250E-03,+6.832655907E+00,+6.134143829E+00
-2.580000E-03,+691.406250E-03,+6.852187157E+00,+6.153675079E+00
-2.575000E-03,+691.406250E-03,+6.871718407E+00,+6.169300079E+00
-2.570000E-03,+691.406250E-03,+6.891249657E+00,+6.188831329E+00
-2.565000E-03,+691.406250E-03,+6.901015282E+00,+6.204456329E+00
-2.560000E-03,+691.406250E-03,+6.920546532E+00,+6.223987579E+00
-2.555000E-03,+691.406250E-03,+6.940077782E+00,+6.243518829E+00
-2.550000E-03,+691.406250E-03,+6.959609032E+00,+6.259143829E+00
-2.545000E-03,+691.406250E-03,+6.979140282E+00,+6.278675079E+00
-2.540000E-03,+691.406250E-03,+6.998671532E+00,+6.294300079E+00
-2.535000E-03,+691.406250E-03,+7.008437157E+00,+6.313831329E+00
-2.530000E-03,+691.406250E-03,+7.027968407E+00,+6.329456329E+00
-2.525000E-03,+691.406250E-03,+7.047499657E+00,+6.341175079E+00
-2.520000E-03,+691.406250E-03,+7.057265282E+00,+6.356800079E+00
-2.515000E-03,+691.406250E-03,+7.076796532E+00,+6.372425079E+00
-2.510000E-03,+691.406250E-03,+7.086562157E+00,+6.388050079E+00
-2.505000E-03,+691.406250E-03,+7.096327782E+00,+6.399768829E+00
-2.500000E-03,+691.406250E-03,+7.115859032E+00,+6.415393829E+00
-2.495000E-03,+691.406250E-03,+7.135390282E+00,+6.431018829E+00
-2.490000E-03,+691.406250E-03,+7.145155907E+00,+6.446643829E+00
-2.485000E-03,+691.406250E-03,+7.164687157E+00,+6.466175079E+00
-2.480000E-03,+695.312500E-03,+7.184218407E+00,+6.481800079E+00
-2.475000E-03,+691.406250E-03,+7.203749657E+00,+6.497425079E+00
-2.470000E-03,+695.312500E-03,+7.213515282E+00,+6.513050079E+00
-2.465000E-03,+695.312500E-03,+7.233046532E+00,+6.528675079E+00
-2.460000E-03,+695.312500E-03,+7.252577782E+00,+6.548206329E+00
-2.455000E-03,+695.312500E-03,+7.272109032E+00,+6.567737579E+00
-2.450000E-03,+695.312500E-03,+7.281874657E+00,+6.583362579E+00
-2.445000E-03,+695.312500E-03,+7.301405907E+00,+6.598987579E+00
-2.440000E-03,+695.312500E-03,+7.320937157E+00,+6.618518829E+00
-2.435000E-03,+695.312500E-03,+7.340468407E+00,+6.634143829E+00
-2.430000E-03,+695.312500E-03,+7.350234032E+00,+6.649768829E+00
-2.425000E-03,+695.312500E-03,+7.369765282E+00,+6.661487579E+00
-2.420000E-03,+695.312500E-03,+7.379530907E+00,+6.677112579E+00
-2.415000E-03,+695.312500E-03,+7.399062157E+00,+6.692737579E+00
-2.410000E-03,+695.312500E-03,+7.418593407E+00,+6.708362579E+00
-2.405000E-03,+695.312500E-03,+7.428359032E+00,+6.727893829E+00
-2.400000E-03,+695.312500E-03,+7.447890282E+00,+6.739612579E+00
-2.395000E-03,+695.312500E-03,+7.457655907E+00,+6.759143829E+00
-2.390000E-03,+695.312500E-03,+7.477187157E+00,+6.774768829E+00
-2.385000E-03,+695.312500E-03,+7.496718407E+00,+6.790393829E+00
-2.380000E-03,+695.312500E-03,+7.506484032E+00,+6.806018829E+00
-2.375000E-03,+695.312500E-03,+7.526015282E+00,+6.817737579E+00
-2.370000E-03,+695.312500E-03,+7.535780907E+00,+6.837268829E+00
-2.365000E-03,+695.312500E-03,+7.555312157E+00,+6.848987579E+00
-2.360000E-03,+695.312500E-03,+7.574843407E+00,+6.868518829E+00
-2.355000E-03,+695.312500E-03,+7.584609032E+00,+6.884143829E+00
-2.350000E-03,+695.312500E-03,+7.604140282E+00,+6.899768829E+00
-2.345000E-03,+695.312500E-03,+7.623671532E+00,+6.919300079E+00
-2.340000E-03,+695.312500E-03,+7.643202782E+00,+6.934925079E+00
-2.335000E-03,+695.312500E-03,+7.662734032E+00,+6.954456329E+00
-2.330000E-03,+695.312500E-03,+7.672499657E+00,+6.970081329E+00
-2.325000E-03,+695.312500E-03,+7.692030907E+00,+6.985706329E+00
-2.320000E-03,+695.312500E-03,+7.711562157E+00,+7.001331329E+00
-2.315000E-03,+695.312500E-03,+7.721327782E+00,+7.020862579E+00
-2.310000E-03,+695.312500E-03,+7.740859032E+00,+7.036487579E+00
-2.305000E-03,+699.218750E-03,+7.760390282E+00,+7.056018829E+00
-2.300000E-03,+699.218750E-03,+7.779921532E+00,+7.071643829E+00
-2.295000E-03,+699.218750E-03,+7.799452782E+00,+7.087268829E+00
-2.290000E-03,+699.218750E-03,+7.809218407E+00,+7.106800079E+00
-2.285000E-03,+699.218750E-03,+7.828749657E+00,+7.118518829E+00
-2.280000E-03,+695.312500E-03,+7.838515282E+00,+7.138050079E+00
-2.275000E-03,+699.218750E-03,+7.858046532E+00,+7.149768829E+00
-2.270000E-03,+695.312500E-03,+7.867812157E+00,+7.165393829E+00
-2.265000E-03,+699.218750E-03,+7.887343407E+00,+7.181018829E+00
-2.260000E-03,+699.218750E-03,+7.906874657E+00,+7.196643829E+00
-2.255000E-03,+699.218750E-03,+7.916640282E+00,+7.212268829E+00
-2.250000E-03,+699.218750E-03,+7.936171532E+00,+7.231800079E+00
-2.245000E-03,+699.218750E-03,+7.955702782E+00,+7.251331329E+00
-2.240000E-03,+699.218750E-03,+7.975234032E+00,+7.270862579E+00
-2.235000E-03,+699.218750E-03,+7.994765282E+00,+7.290393829E+00
-2.230000E-03,+699.218750E-03,+8.014296532E+00,+7.306018829E+00
-2.225000E-03,+699.218750E-03,+8.033827782E+00,+7.325550079E+00
-2.220000E-03,+699.218750E-03,+8.053359032E+00,+7.345081329E+00
-2.215000E-03,+699.218750E-03,+8.072890282E+00,+7.364612579E+00
-2.210000E-03,+699.218750E-03,+8.092421532E+00,+7.384143829E+00
-2.205000E-03,+699.218750E-03,+8.111952782E+00,+7.399768829E+00
-2.200000E-03,+699.218750E-03,+8.121718407E+00,+7.415393829E+00
-2.195000E-03,+699.218750E-03,+8.141249657E+00,+7.434925079E+00
-2.190000E-03,+699.218750E-03,+8.151015282E+00,+7.446643829E+00
-2.185000E-03,+699.218750E-03,+8.170546532E+00,+7.462268829E+00
-2.180000E-03,+699.218750E-03,+8.180312157E+00,+7.473987579E+00
-2.175000E-03,+699.218750E-03,+8.199843407E+00,+7.493518829E+00
-2.170000E-03,+699.218750E-03,+8.219374657E+00,+7.509143829E+00
-2.165000E-03,+699.218750E-03,+8.229140282E+00,+7.524768829E+00
-2.160000E-03,+699.218750E-03,+8.248671532E+00,+7.540393829E+00
-2.155000E-03,+699.218750E-03,+8.268202782E+00,+7.559925079E+00
-2.150000E-03,+699.218750E-03,+8.287734032E+00,+7.579456329E+00
-2.145000E-03,+699.218750E-03,+8.297499657E+00,+7.591175079E+00
-2.140000E-03,+699.218750E-03,+8.317030907E+00,+7.610706329E+00
-2.135000E-03,+699.218750E-03,+8.336562157E+00,+7.626331329E+00
-2.130000E-03,+699.218750E-03,+8.356093407E+00,+7.649768829E+00
-2.125000E-03,+699.218750E-03,+8.375624657E+00,+7.661487579E+00
-2.120000E-03,+699.218750E-03,+8.395155907E+00,+7.681018829E+00
-2.115000E-03,+699.218750E-03,+8.404921532E+00,+7.700550079E+00
-2.110000E-03,+699.218750E-03,+8.424452782E+00,+7.716175079E+00
-2.105000E-03,+699.218750E-03,+8.443984032E+00,+7.731800079E+00
-2.100000E-03,+699.218750E-03,+8.453749657E+00,+7.743518829E+00
-2.095000E-03,+699.218750E-03,+8.473280907E+00,+7.759143829E+00
-2.090000E-03,+703.125000E-03,+8.483046532E+00,+7.770862579E+00
-2.085000E-03,+699.218750E-03,+8.492812157E+00,+7.782581329E+00
-2.080000E-03,+699.218750E-03,+8.512343407E+00,+7.798206329E+00
-2.075000E-03,-246.093750E-03,+5.211562157E+00,+5.454456329E+00
-2.070000E-03,-2.468750000E+00,-1.468125343E+00,+997.425079E-03
-2.065000E-03,-2.886718750E+00,-2.757187843E+00,+118.518829E-03
-2.060000E-03,-2.957031250E+00,-2.962265968E+00,-6.481171E-03
-2.055000E-03,-2.945312500E+00,-2.952500343E+00,-10.387421E-03
-2.050000E-03,-2.933593750E+00,-2.942734718E+00,-10.387421E-03
-2.045000E-03,-2.925781250E+00,-2.932969093E+00,-14.293671E-03
-2.040000E-03,-2.910156250E+00,-2.923203468E+00,-18.199921E-03
-2.035000E-03,-2.894531250E+00,-2.913437843E+00,-22.106171E-03
-2.030000E-03,-2.882812500E+00,-2.903672218E+00,-22.106171E-03
-2.025000E-03,-2.867187500E+00,-2.884140968E+00,-22.106171E-03
-2.020000E-03,-2.851562500E+00,-2.864609718E+00,-22.106171E-03
-2.015000E-03,-2.835937500E+00,-2.854844093E+00,-26.012421E-03
-2.010000E-03,-2.820312500E+00,-2.835312843E+00,-22.106171E-03
-2.005000E-03,-2.804687500E+00,-2.825547218E+00,-22.106171E-03
-2.000000E-03,-2.789062500E+00,-2.806015968E+00,-26.012421E-03
-1.995000E-03,-2.769531250E+00,-2.796250343E+00,-29.918671E-03
-1.990000E-03,-2.753906250E+00,-2.776719093E+00,-29.918671E-03
-1.985000E-03,-2.738281250E+00,-2.766953468E+00,-29.918671E-03
-1.980000E-03,-2.722656250E+00,-2.747422218E+00,-33.824921E-03
-1.975000E-03,-2.703125000E+00,-2.737656593E+00,-37.731171E-03
-1.970000E-03,-2.687500000E+00,-2.718125343E+00,-37.731171E-03
-1.965000E-03,-2.667968750E+00,-2.698594093E+00,-33.824921E-03
-1.960000E-03,-2.648437500E+00,-2.679062843E+00,-41.637421E-03
-1.955000E-03,-2.632812500E+00,-2.669297218E+00,-41.637421E-03
-1.950000E-03,-2.613281250E+00,-2.649765968E+00,-37.731171E-03
-1.945000E-03,-2.597656250E+00,-2.640000343E+00,-41.637421E-03
-1.940000E-03,-2.582031250E+00,-2.620469093E+00,-45.543671E-03
-1.935000E-03,-2.562500000E+00,-2.600937843E+00,-45.543671E-03
-1.930000E-03,-2.546875000E+00,-2.581406593E+00,-45.543671E-03
-1.925000E-03,-2.527343750E+00,-2.571640968E+00,-49.449921E-03
-1.920000E-03,-2.511718750E+00,-2.552109718E+00,-49.449921E-03
-1.915000E-03,-2.492187500E+00,-2.532578468E+00,-45.543671E-03
-1.910000E-03,-2.472656250E+00,-2.513047218E+00,-49.449921E-03
-1.905000E-03,-2.457031250E+00,-2.503281593E+00,-49.449921E-03
-1.900000E-03,-2.441406250E+00,-2.483750343E+00,-49.449921E-03
-1.895000E-03,-2.421875000E+00,-2.473984718E+00,-57.262421E-03
-1.890000E-03,-2.406250000E+00,-2.454453468E+00,-57.262421E-03
-1.885000E-03,-2.386718750E+00,-2.444687843E+00,-57.262421E-03
-1.880000E-03,-2.371093750E+00,-2.425156593E+00,-61.168671E-03
-1.875000E-03,-2.355468750E+00,-2.405625343E+00,-57.262421E-03
-1.870000E-03,-2.339843750E+00,-2.395859718E+00,-57.262421E-03
-1.865000E-03,-2.320312500E+00,-2.376328468E+00,-57.262421E-03
-1.860000E-03,-2.304687500E+00,-2.356797218E+00,-53.356171E-03
-1.855000E-03,-2.289062500E+00,-2.337265968E+00,-49.449921E-03
