Freq.	I(R1)
1.00000000000000e-001	(-1.04036403061469e+002dB,-9.00179999994215e+001°)
1.00230523807790e-001	(-1.04016403063448e+002dB,-9.00180414937019e+001°)
1.00461579027840e-001	(-1.03996403065435e+002dB,-9.00180830835947e+001°)
1.00693166885180e-001	(-1.03976403067432e+002dB,-9.00181247694532e+001°)
1.00925288607668e-001	(-1.03956403069438e+002dB,-9.00181665513607e+001°)
1.01157945425990e-001	(-1.03936403071453e+002dB,-9.00182084295544e+001°)
1.01391138573668e-001	(-1.03916403073478e+002dB,-9.00182504043037e+001°)
1.01624869287070e-001	(-1.03896403075512e+002dB,-9.00182924758500e+001°)
1.01859138805412e-001	(-1.03876403077555e+002dB,-9.00183346443474e+001°)
1.02093948370768e-001	(-1.03856403079608e+002dB,-9.00183769101015e+001°)
1.02329299228075e-001	(-1.03836403081670e+002dB,-9.00184192732116e+001°)
1.02565192625141e-001	(-1.03816403083742e+002dB,-9.00184617340272e+001°)
1.02801629812647e-001	(-1.03796403085823e+002dB,-9.00185042926919e+001°)
1.03038612044162e-001	(-1.03776403087914e+002dB,-9.00185469495190e+001°)
1.03276140576140e-001	(-1.03756403090014e+002dB,-9.00185897046568e+001°)
1.03514216667934e-001	(-1.03736403092125e+002dB,-9.00186325583242e+001°)
1.03752841581801e-001	(-1.03716403094245e+002dB,-9.00186755108304e+001°)
1.03992016582906e-001	(-1.03696403096374e+002dB,-9.00187185623007e+001°)
1.04231742939330e-001	(-1.03676403098514e+002dB,-9.00187617130477e+001°)
1.04472021922080e-001	(-1.03656403100663e+002dB,-9.00188049632977e+001°)
1.04712854805090e-001	(-1.03636403102823e+002dB,-9.00188483131921e+001°)
1.04954242865232e-001	(-1.03616403104992e+002dB,-9.00188917630195e+001°)
1.05196187382322e-001	(-1.03596403107171e+002dB,-9.00189353130212e+001°)
1.05438689639126e-001	(-1.03576403109361e+002dB,-9.00189789634502e+001°)
1.05681750921366e-001	(-1.03556403111560e+002dB,-9.00190227144936e+001°)
1.05925372517729e-001	(-1.03536403113770e+002dB,-9.00190665663499e+001°)
1.06169555719872e-001	(-1.03516403115990e+002dB,-9.00191105193247e+001°)
1.06414301822431e-001	(-1.03496403118220e+002dB,-9.00191545736006e+001°)
1.06659612123026e-001	(-1.03476403120461e+002dB,-9.00191987294475e+001°)
1.06905487922266e-001	(-1.03456403122711e+002dB,-9.00192429870891e+001°)
1.07151930523760e-001	(-1.03436403124972e+002dB,-9.00192873467790e+001°)
1.07398941234124e-001	(-1.03416403127244e+002dB,-9.00193318087059e+001°)
1.07646521362983e-001	(-1.03396403129526e+002dB,-9.00193763730885e+001°)
1.07894672222983e-001	(-1.03376403131819e+002dB,-9.00194210402689e+001°)
1.08143395129794e-001	(-1.03356403134122e+002dB,-9.00194658103742e+001°)
1.08392691402120e-001	(-1.03336403136436e+002dB,-9.00195106836923e+001°)
1.08642562361706e-001	(-1.03316403138760e+002dB,-9.00195556604654e+001°)
1.08893009333343e-001	(-1.03296403141095e+002dB,-9.00196007409089e+001°)
1.09144033644875e-001	(-1.03276403143442e+002dB,-9.00196459252856e+001°)
1.09395636627209e-001	(-1.03256403145798e+002dB,-9.00196912137945e+001°)
1.09647819614318e-001	(-1.03236403148166e+002dB,-9.00197366067561e+001°)
1.09900583943252e-001	(-1.03216403150545e+002dB,-9.00197821043343e+001°)
1.10153930954141e-001	(-1.03196403152934e+002dB,-9.00198277067774e+001°)
1.10407861990207e-001	(-1.03176403155335e+002dB,-9.00198734143622e+001°)
1.10662378397766e-001	(-1.03156403157747e+002dB,-9.00199192273016e+001°)
1.10917481526240e-001	(-1.03136403160170e+002dB,-9.00199651458737e+001°)
1.11173172728159e-001	(-1.03116403162604e+002dB,-9.00200111702752e+001°)
1.11429453359173e-001	(-1.03096403165049e+002dB,-9.00200573007853e+001°)
1.11686324778056e-001	(-1.03076403167506e+002dB,-9.00201035376205e+001°)
1.11943788346715e-001	(-1.03056403169973e+002dB,-9.00201498810612e+001°)
1.12201845430196e-001	(-1.03036403172453e+002dB,-9.00201963313431e+001°)
1.12460497396692e-001	(-1.03016403174943e+002dB,-9.00202428886936e+001°)
1.12719745617551e-001	(-1.02996403177446e+002dB,-9.00202895533674e+001°)
1.12979591467279e-001	(-1.02976403179960e+002dB,-9.00203363256111e+001°)
1.13240036323555e-001	(-1.02956403182485e+002dB,-9.00203832056625e+001°)
1.13501081567231e-001	(-1.02936403185022e+002dB,-9.00204301938223e+001°)
1.13762728582343e-001	(-1.02916403187571e+002dB,-9.00204772902755e+001°)
1.14024978756117e-001	(-1.02896403190131e+002dB,-9.00205244953056e+001°)
1.14287833478977e-001	(-1.02876403192704e+002dB,-9.00205718091518e+001°)
1.14551294144553e-001	(-1.02856403195288e+002dB,-9.00206192320624e+001°)
1.14815362149688e-001	(-1.02836403197884e+002dB,-9.00206667642772e+001°)
1.15080038894443e-001	(-1.02816403200492e+002dB,-9.00207144061154e+001°)
1.15345325782109e-001	(-1.02796403203112e+002dB,-9.00207621577287e+001°)
1.15611224219209e-001	(-1.02776403205745e+002dB,-9.00208100194366e+001°)
1.15877735615512e-001	(-1.02756403208389e+002dB,-9.00208579914790e+001°)
1.16144861384034e-001	(-1.02736403211046e+002dB,-9.00209060741223e+001°)
1.16412602941049e-001	(-1.02716403213715e+002dB,-9.00209542676065e+001°)
1.16680961706096e-001	(-1.02696403216396e+002dB,-9.00210025721630e+001°)
1.16949939101987e-001	(-1.02676403219089e+002dB,-9.00210509881013e+001°)
1.17219536554813e-001	(-1.02656403221795e+002dB,-9.00210995156177e+001°)
1.17489755493952e-001	(-1.02636403224514e+002dB,-9.00211481550385e+001°)
1.17760597352080e-001	(-1.02616403227245e+002dB,-9.00211969065597e+001°)
1.18032063565172e-001	(-1.02596403229989e+002dB,-9.00212457704724e+001°)
1.18304155572516e-001	(-1.02576403232745e+002dB,-9.00212947470237e+001°)
1.18576874816716e-001	(-1.02556403235514e+002dB,-9.00213438364867e+001°)
1.18850222743701e-001	(-1.02536403238296e+002dB,-9.00213930390907e+001°)
1.19124200802737e-001	(-1.02516403241090e+002dB,-9.00214423551589e+001°)
1.19398810446427e-001	(-1.02496403243898e+002dB,-9.00214917848859e+001°)
1.19674053130724e-001	(-1.02476403246719e+002dB,-9.00215413285595e+001°)
1.19949930314937e-001	(-1.02456403249552e+002dB,-9.00215909864414e+001°)
1.20226443461741e-001	(-1.02436403252399e+002dB,-9.00216407588012e+001°)
1.20503594037179e-001	(-1.02416403255258e+002dB,-9.00216906458823e+001°)
1.20781383510677e-001	(-1.02396403258131e+002dB,-9.00217406479866e+001°)
1.21059813355048e-001	(-1.02376403261018e+002dB,-9.00217907653394e+001°)
1.21338885046497e-001	(-1.02356403263917e+002dB,-9.00218409982408e+001°)
1.21618600064636e-001	(-1.02336403266830e+002dB,-9.00218913469316e+001°)
1.21898959892486e-001	(-1.02316403269756e+002dB,-9.00219418117098e+001°)
1.22179966016487e-001	(-1.02296403272696e+002dB,-9.00219923928145e+001°)
1.22461619926504e-001	(-1.02276403275650e+002dB,-9.00220430905087e+001°)
1.22743923115840e-001	(-1.02256403278617e+002dB,-9.00220939050630e+001°)
1.23026877081238e-001	(-1.02236403281598e+002dB,-9.00221448367715e+001°)
1.23310483322890e-001	(-1.02216403284592e+002dB,-9.00221958859022e+001°)
1.23594743344450e-001	(-1.02196403287601e+002dB,-9.00222470526813e+001°)
1.23879658653036e-001	(-1.02176403290623e+002dB,-9.00222983374242e+001°)
1.24165230759240e-001	(-1.02156403293659e+002dB,-9.00223497404037e+001°)
1.24451461177138e-001	(-1.02136403296709e+002dB,-9.00224012618672e+001°)
1.24738351424294e-001	(-1.02116403299774e+002dB,-9.00224529021177e+001°)
1.25025903021771e-001	(-1.02096403302852e+002dB,-9.00225046613840e+001°)
1.25314117494141e-001	(-1.02076403305945e+002dB,-9.00225565399664e+001°)
1.25602996369487e-001	(-1.02056403309052e+002dB,-9.00226085381717e+001°)
1.25892541179416e-001	(-1.02036403312173e+002dB,-9.00226606562489e+001°)
1.26182753459066e-001	(-1.02016403315308e+002dB,-9.00227128944375e+001°)
1.26473634747114e-001	(-1.01996403318459e+002dB,-9.00227652530801e+001°)
1.26765186585784e-001	(-1.01976403321623e+002dB,-9.00228177323652e+001°)
1.27057410520853e-001	(-1.01956403324803e+002dB,-9.00228703326959e+001°)
1.27350308101665e-001	(-1.01936403327997e+002dB,-9.00229230542419e+001°)
1.27643880881134e-001	(-1.01916403331205e+002dB,-9.00229758973228e+001°)
1.27938130415752e-001	(-1.01896403334429e+002dB,-9.00230288622325e+001°)
1.28233058265601e-001	(-1.01876403337667e+002dB,-9.00230819492237e+001°)
1.28528665994361e-001	(-1.01856403340921e+002dB,-9.00231351586183e+001°)
1.28824955169313e-001	(-1.01836403344189e+002dB,-9.00231884906494e+001°)
1.29121927361353e-001	(-1.01816403347472e+002dB,-9.00232419456510e+001°)
1.29419584144998e-001	(-1.01796403350771e+002dB,-9.00232955238526e+001°)
1.29717927098395e-001	(-1.01776403354085e+002dB,-9.00233492255998e+001°)
1.30016957803328e-001	(-1.01756403357414e+002dB,-9.00234030511028e+001°)
1.30316677845229e-001	(-1.01736403360758e+002dB,-9.00234570007027e+001°)
1.30617088813183e-001	(-1.01716403364118e+002dB,-9.00235110746685e+001°)
1.30918192299940e-001	(-1.01696403367494e+002dB,-9.00235652732901e+001°)
1.31219989901919e-001	(-1.01676403370885e+002dB,-9.00236195968478e+001°)
1.31522483219223e-001	(-1.01656403374291e+002dB,-9.00236740456425e+001°)
1.31825673855640e-001	(-1.01636403377714e+002dB,-9.00237286199346e+001°)
1.32129563418657e-001	(-1.01616403381152e+002dB,-9.00237833200362e+001°)
1.32434153519466e-001	(-1.01596403384606e+002dB,-9.00238381462491e+001°)
1.32739445772973e-001	(-1.01576403388076e+002dB,-9.00238930988345e+001°)
1.33045441797808e-001	(-1.01556403391562e+002dB,-9.00239481781200e+001°)
1.33352143216331e-001	(-1.01536403395064e+002dB,-9.00240033843925e+001°)
