v4,V(vout)
2.500000000000000e-001,-4.434754e-001
2.510000000000000e-001,-4.434760e-001
2.520000000000000e-001,-4.434766e-001
2.530000000000000e-001,-4.434773e-001
2.540000000000000e-001,-4.434779e-001
2.550000000000000e-001,-4.434785e-001
2.560000000000000e-001,-4.434791e-001
2.570000000000000e-001,-4.434797e-001
2.580000000000000e-001,-4.434803e-001
2.590000000000000e-001,-4.434808e-001
2.600000000000000e-001,-4.434814e-001
2.610000000000000e-001,-4.434820e-001
2.620000000000000e-001,-4.434825e-001
2.630000000000000e-001,-4.434831e-001
2.640000000000000e-001,-4.434836e-001
2.650000000000000e-001,-4.434842e-001
2.660000000000000e-001,-4.434847e-001
2.670000000000000e-001,-4.434852e-001
2.680000000000000e-001,-4.434857e-001
2.690000000000000e-001,-4.434862e-001
2.700000000000000e-001,-4.434867e-001
2.710000000000000e-001,-4.434872e-001
2.720000000000000e-001,-4.434876e-001
2.730000000000000e-001,-4.434881e-001
2.740000000000000e-001,-4.434885e-001
2.750000000000000e-001,-4.434890e-001
2.760000000000000e-001,-4.434894e-001
2.770000000000000e-001,-4.434898e-001
2.780000000000000e-001,-4.434902e-001
2.790000000000000e-001,-4.434906e-001
2.800000000000000e-001,-4.434910e-001
2.810000000000000e-001,-4.434914e-001
2.820000000000000e-001,-4.434917e-001
2.830000000000000e-001,-4.434921e-001
2.840000000000000e-001,-4.434924e-001
2.850000000000000e-001,-4.434927e-001
2.860000000000000e-001,-4.434930e-001
2.870000000000000e-001,-4.434933e-001
2.880000000000000e-001,-4.434936e-001
2.890000000000000e-001,-4.434939e-001
2.900000000000000e-001,-4.434941e-001
2.910000000000000e-001,-4.434943e-001
2.920000000000000e-001,-4.434946e-001
2.930000000000000e-001,-4.434948e-001
2.940000000000000e-001,-4.434949e-001
2.950000000000000e-001,-4.434951e-001
2.960000000000000e-001,-4.434952e-001
2.970000000000000e-001,-4.434954e-001
2.980000000000000e-001,-4.434955e-001
2.990000000000000e-001,-4.434955e-001
3.000000000000000e-001,-4.434956e-001
3.010000000000001e-001,-4.434956e-001
3.020000000000001e-001,-4.434956e-001
3.030000000000001e-001,-4.434956e-001
3.040000000000001e-001,-4.434955e-001
3.050000000000001e-001,-4.434955e-001
3.060000000000001e-001,-4.434953e-001
3.070000000000001e-001,-4.434952e-001
3.080000000000001e-001,-4.434950e-001
3.090000000000001e-001,-4.434948e-001
3.100000000000001e-001,-4.434946e-001
3.110000000000001e-001,-4.434943e-001
3.120000000000001e-001,-4.434939e-001
3.130000000000001e-001,-4.434935e-001
3.140000000000001e-001,-4.434931e-001
3.150000000000001e-001,-4.434926e-001
3.160000000000001e-001,-4.434921e-001
3.170000000000001e-001,-4.434914e-001
3.180000000000001e-001,-4.434907e-001
3.190000000000001e-001,-4.434900e-001
3.200000000000001e-001,-4.434892e-001
3.210000000000001e-001,-4.434882e-001
3.220000000000001e-001,-4.434872e-001
3.230000000000001e-001,-4.434861e-001
3.240000000000001e-001,-4.434848e-001
3.250000000000001e-001,-4.434835e-001
3.260000000000001e-001,-4.434819e-001
3.270000000000001e-001,-4.434802e-001
3.280000000000001e-001,-4.434783e-001
3.290000000000001e-001,-4.434762e-001
3.300000000000001e-001,-4.434738e-001
3.310000000000001e-001,-4.434711e-001
3.320000000000001e-001,-4.434680e-001
3.330000000000001e-001,-4.434645e-001
3.340000000000001e-001,-4.434603e-001
3.350000000000001e-001,-4.434554e-001
3.360000000000001e-001,-4.434494e-001
3.370000000000001e-001,-4.434420e-001
3.380000000000001e-001,-4.434323e-001
3.390000000000001e-001,-4.434186e-001
3.400000000000001e-001,-4.433953e-001
3.410000000000001e-001,-4.433227e-001
3.420000000000001e-001,-4.024697e-001
3.430000000000001e-001,-3.525429e-001
3.440000000000001e-001,-3.025617e-001
3.450000000000001e-001,-2.525711e-001
3.460000000000001e-001,-2.025792e-001
3.470000000000001e-001,-1.525872e-001
3.480000000000001e-001,-1.025950e-001
3.490000000000001e-001,-5.260290e-002
3.500000000000001e-001,-2.610773e-003
3.510000000000001e-001,4.738136e-002
3.520000000000001e-001,9.737349e-002
3.530000000000001e-001,1.473656e-001
3.540000000000001e-001,1.973577e-001
3.550000000000001e-001,2.473499e-001
3.560000000000001e-001,2.973420e-001
3.570000000000001e-001,3.473341e-001
3.580000000000001e-001,3.973263e-001
3.590000000000001e-001,4.473184e-001
3.600000000000001e-001,4.973105e-001
3.610000000000001e-001,5.473027e-001
3.620000000000001e-001,5.972948e-001
3.630000000000001e-001,6.472869e-001
3.640000000000001e-001,6.972790e-001
3.650000000000001e-001,7.472712e-001
3.660000000000001e-001,7.972633e-001
3.670000000000001e-001,8.472554e-001
3.680000000000001e-001,8.972476e-001
3.690000000000001e-001,9.472397e-001
3.700000000000001e-001,9.972318e-001
3.710000000000001e-001,1.047224e+000
3.720000000000001e-001,1.097216e+000
3.730000000000001e-001,1.147208e+000
3.740000000000001e-001,1.197200e+000
3.750000000000001e-001,1.247193e+000
3.760000000000001e-001,1.297185e+000
3.770000000000001e-001,1.347177e+000
3.780000000000001e-001,1.397169e+000
3.790000000000001e-001,1.447161e+000
3.800000000000001e-001,1.497153e+000
3.810000000000001e-001,1.547145e+000
3.820000000000001e-001,1.597137e+000
3.830000000000001e-001,1.647130e+000
3.840000000000001e-001,1.697122e+000
3.850000000000001e-001,1.747114e+000
3.860000000000001e-001,1.797106e+000
3.870000000000001e-001,1.847098e+000
3.880000000000001e-001,1.897090e+000
3.890000000000001e-001,1.947082e+000
3.900000000000001e-001,1.997074e+000
3.910000000000001e-001,2.047066e+000
3.920000000000001e-001,2.097059e+000
3.930000000000001e-001,2.147051e+000
3.940000000000001e-001,2.197043e+000
3.950000000000001e-001,2.247035e+000
3.960000000000001e-001,2.297027e+000
3.970000000000001e-001,2.347019e+000
3.980000000000001e-001,2.397012e+000
3.990000000000001e-001,2.447004e+000
4.000000000000001e-001,2.496996e+000
4.010000000000001e-001,2.546988e+000
4.020000000000001e-001,2.596980e+000
4.030000000000001e-001,2.646972e+000
4.040000000000001e-001,2.696964e+000
4.050000000000001e-001,2.746956e+000
4.060000000000001e-001,2.796948e+000
4.070000000000001e-001,2.846941e+000
4.080000000000001e-001,2.896933e+000
4.090000000000001e-001,2.946925e+000
4.100000000000001e-001,2.996917e+000
4.110000000000001e-001,3.046909e+000
4.120000000000001e-001,3.096901e+000
4.130000000000001e-001,3.146893e+000
4.140000000000002e-001,3.196886e+000
4.150000000000002e-001,3.246878e+000
4.160000000000002e-001,3.296870e+000
4.170000000000002e-001,3.346862e+000
4.180000000000002e-001,3.396854e+000
4.190000000000002e-001,3.446846e+000
4.200000000000002e-001,3.496838e+000
4.210000000000002e-001,3.546830e+000
4.220000000000002e-001,3.596823e+000
4.230000000000002e-001,3.646815e+000
4.240000000000002e-001,3.696807e+000
4.250000000000002e-001,3.746799e+000
4.260000000000002e-001,3.796791e+000
4.270000000000002e-001,3.846783e+000
4.280000000000002e-001,3.896775e+000
4.290000000000002e-001,3.946768e+000
4.300000000000002e-001,3.996760e+000
4.310000000000002e-001,4.046751e+000
4.320000000000002e-001,4.096744e+000
4.330000000000002e-001,4.146736e+000
4.340000000000002e-001,4.196728e+000
4.350000000000002e-001,4.246720e+000
4.360000000000002e-001,4.296712e+000
4.370000000000002e-001,4.346704e+000
4.380000000000002e-001,4.396697e+000
4.390000000000002e-001,4.446689e+000
4.400000000000002e-001,4.496681e+000
4.410000000000002e-001,4.546673e+000
4.420000000000002e-001,4.596665e+000
4.430000000000002e-001,4.646657e+000
4.440000000000002e-001,4.696650e+000
4.450000000000002e-001,4.746642e+000
4.460000000000002e-001,4.796634e+000
4.470000000000002e-001,4.846626e+000
4.480000000000002e-001,4.896618e+000
4.490000000000002e-001,4.946610e+000
4.500000000000002e-001,4.996602e+000
4.510000000000002e-001,5.046594e+000
4.520000000000002e-001,5.096586e+000
