v4	V(vout)
1.500000000000000e-001	-7.166018e-001
1.600000000000000e-001	-7.166289e-001
1.700000000000000e-001	-7.166560e-001
1.800000000000000e-001	-7.166830e-001
1.900000000000000e-001	-7.167101e-001
2.000000000000000e-001	-7.167371e-001
2.100000000000001e-001	-7.167630e-001
2.200000000000001e-001	-7.167867e-001
2.300000000000001e-001	-7.168087e-001
2.400000000000001e-001	-7.168288e-001
2.500000000000001e-001	-7.168470e-001
2.600000000000001e-001	-7.168631e-001
2.700000000000001e-001	-7.168767e-001
2.800000000000001e-001	-7.168874e-001
2.900000000000001e-001	-7.168939e-001
3.000000000000001e-001	-7.168947e-001
3.100000000000001e-001	-7.168862e-001
3.200000000000001e-001	-7.168584e-001
3.300000000000001e-001	-7.167733e-001
3.400000000000001e-001	-5.024953e-001
3.500000000000001e-001	-2.610765e-003
3.600000000000002e-001	4.973102e-001
3.700000000000002e-001	9.972315e-001
3.800000000000002e-001	1.497153e+000
3.900000000000002e-001	1.997074e+000
4.000000000000002e-001	2.496995e+000
4.100000000000002e-001	2.996917e+000
4.200000000000002e-001	3.496838e+000
4.300000000000002e-001	3.996759e+000
4.400000000000002e-001	4.496681e+000
4.500000000000002e-001	4.996602e+000
4.600000000000002e-001	5.496523e+000
4.700000000000003e-001	5.996444e+000
4.800000000000003e-001	6.496363e+000
4.900000000000003e-001	6.743740e+000
5.000000000000002e-001	6.743780e+000
5.100000000000002e-001	6.743793e+000
5.200000000000002e-001	6.743796e+000
5.300000000000003e-001	6.743796e+000
5.400000000000003e-001	6.743793e+000
5.500000000000003e-001	6.743789e+000
5.600000000000003e-001	6.743783e+000
5.700000000000003e-001	6.743777e+000
5.800000000000003e-001	6.743769e+000
5.900000000000003e-001	6.743761e+000
6.000000000000003e-001	6.743752e+000
6.100000000000003e-001	6.743742e+000
6.200000000000003e-001	6.743731e+000
6.300000000000003e-001	6.743720e+000
6.400000000000004e-001	6.743709e+000
6.500000000000004e-001	6.743697e+000
6.600000000000004e-001	6.743686e+000
6.700000000000004e-001	6.743675e+000
6.800000000000004e-001	6.743663e+000
6.900000000000004e-001	6.743652e+000
7.000000000000004e-001	6.743641e+000
7.100000000000004e-001	6.743629e+000
7.200000000000004e-001	6.743618e+000
7.300000000000004e-001	6.743607e+000
7.400000000000004e-001	6.743602e+000
7.500000000000000e-001	6.743601e+000
